Sex by Work Experience by Earnings (Native Hawaiian and Other Pacific Islander Alo
----------------------------------------------------------------------------------
Universe: Native Hawaiian and Other Pacific Islander Alone Population 16 Years and Over

B20005E001 Total:
B20005E002  Male:
B20005E003   Worked full-time, year-round in the past 12 months:
B20005E004    No earnings
B20005E005    With earnings:
B20005E006     $1 to $2,499 or loss
B20005E007     $2,500 to $4,999
B20005E008     $5,000 to $7,499
B20005E009     $7,500 to $9,999
B20005E010     $10,000 to $12,499
B20005E011     $12,500 to $14,999
B20005E012     $15,000 to $17,499
B20005E013     $17,500 to $19,999
B20005E014     $20,000 to $22,499
B20005E015     $22,500 to $24,999
B20005E016     $25,000 to $29,999
B20005E017     $30,000 to $34,999
B20005E018     $35,000 to $39,999
B20005E019     $40,000 to $44,999
B20005E020     $45,000 to $49,999
B20005E021     $50,000 to $54,999
B20005E022     $55,000 to $64,999
B20005E023     $65,000 to $74,999
B20005E024     $75,000 to $99,999
B20005E025     $100,000 or more
B20005E026   Other:
B20005E027    No earnings
B20005E028    With earnings:
B20005E029     $1 to $2,499 or loss
B20005E030     $2,500 to $4,999
B20005E031     $5,000 to $7,499
B20005E032     $7,500 to $9,999
B20005E033     $10,000 to $12,499
B20005E034     $12,500 to $14,999
B20005E035     $15,000 to $17,499
B20005E036     $17,500 to $19,999
B20005E037     $20,000 to $22,499
B20005E038     $22,500 to $24,999
B20005E039     $25,000 to $29,999
B20005E040     $30,000 to $34,999
B20005E041     $35,000 to $39,999
B20005E042     $40,000 to $44,999
B20005E043     $45,000 to $49,999
B20005E044     $50,000 to $54,999
B20005E045     $55,000 to $64,999
B20005E046     $65,000 to $74,999
B20005E047     $75,000 to $99,999
B20005E048     $100,000 or more
B20005E049  Female:
B20005E050   Worked full-time, year-round in the past 12 months:
B20005E051    No earnings
B20005E052    With earnings:
B20005E053     $1 to $2,499 or loss
B20005E054     $2,500 to $4,999
B20005E055     $5,000 to $7,499
B20005E056     $7,500 to $9,999
B20005E057     $10,000 to $12,499
B20005E058     $12,500 to $14,999
B20005E059     $15,000 to $17,499
B20005E060     $17,500 to $19,999
B20005E061     $20,000 to $22,499
B20005E062     $22,500 to $24,999
B20005E063     $25,000 to $29,999
B20005E064     $30,000 to $34,999
B20005E065     $35,000 to $39,999
B20005E066     $40,000 to $44,999
B20005E067     $45,000 to $49,999
B20005E068     $50,000 to $54,999
B20005E069     $55,000 to $64,999
B20005E070     $65,000 to $74,999
B20005E071     $75,000 to $99,999
B20005E072     $100,000 or more
B20005E073   Other:
B20005E074    No earnings
B20005E075    With earnings:
B20005E076     $1 to $2,499 or loss
B20005E077     $2,500 to $4,999
B20005E078     $5,000 to $7,499
B20005E079     $7,500 to $9,999
B20005E080     $10,000 to $12,499
B20005E081     $12,500 to $14,999
B20005E082     $15,000 to $17,499
B20005E083     $17,500 to $19,999
B20005E084     $20,000 to $22,499
B20005E085     $22,500 to $24,999
B20005E086     $25,000 to $29,999
B20005E087     $30,000 to $34,999
B20005E088     $35,000 to $39,999
B20005E089     $40,000 to $44,999
B20005E090     $45,000 to $49,999
B20005E091     $50,000 to $54,999
B20005E092     $55,000 to $64,999
B20005E093     $65,000 to $74,999
B20005E094     $75,000 to $99,999
B20005E095     $100,000 or more
