area_id,area_name,b19037g001,b19037g001_moe,b19037g002,b19037g002_moe,b19037g003,b19037g003_moe,b19037g004,b19037g004_moe,b19037g005,b19037g005_moe,b19037g006,b19037g006_moe,b19037g007,b19037g007_moe,b19037g008,b19037g008_moe,b19037g009,b19037g009_moe,b19037g010,b19037g010_moe,b19037g011,b19037g011_moe,b19037g012,b19037g012_moe,b19037g013,b19037g013_moe,b19037g014,b19037g014_moe,b19037g015,b19037g015_moe,b19037g016,b19037g016_moe,b19037g017,b19037g017_moe,b19037g018,b19037g018_moe,b19037g019,b19037g019_moe,b19037g020,b19037g020_moe,b19037g021,b19037g021_moe,b19037g022,b19037g022_moe,b19037g023,b19037g023_moe,b19037g024,b19037g024_moe,b19037g025,b19037g025_moe,b19037g026,b19037g026_moe,b19037g027,b19037g027_moe,b19037g028,b19037g028_moe,b19037g029,b19037g029_moe,b19037g030,b19037g030_moe,b19037g031,b19037g031_moe,b19037g032,b19037g032_moe,b19037g033,b19037g033_moe,b19037g034,b19037g034_moe,b19037g035,b19037g035_moe,b19037g036,b19037g036_moe,b19037g037,b19037g037_moe,b19037g038,b19037g038_moe,b19037g039,b19037g039_moe,b19037g040,b19037g040_moe,b19037g041,b19037g041_moe,b19037g042,b19037g042_moe,b19037g043,b19037g043_moe,b19037g044,b19037g044_moe,b19037g045,b19037g045_moe,b19037g046,b19037g046_moe,b19037g047,b19037g047_moe,b19037g048,b19037g048_moe,b19037g049,b19037g049_moe,b19037g050,b19037g050_moe,b19037g051,b19037g051_moe,b19037g052,b19037g052_moe,b19037g053,b19037g053_moe,b19037g054,b19037g054_moe,b19037g055,b19037g055_moe,b19037g056,b19037g056_moe,b19037g057,b19037g057_moe,b19037g058,b19037g058_moe,b19037g059,b19037g059_moe,b19037g060,b19037g060_moe,b19037g061,b19037g061_moe,b19037g062,b19037g062_moe,b19037g063,b19037g063_moe,b19037g064,b19037g064_moe,b19037g065,b19037g065_moe,b19037g066,b19037g066_moe,b19037g067,b19037g067_moe,b19037g068,b19037g068_moe,b19037g069,b19037g069_moe
1,Rogers Park,572,167,51,76,35,72,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,16,53,0,48,0,48,0,48,0,48,329,122,60,64,0,48,0,48,13,49,56,70,13,51,30,56,14,52,11,49,71,66,34,59,0,48,27,62,0,48,0,48,0,48,157,89,29,54,13,50,15,50,0,48,10,48,0,48,0,48,27,54,0,48,0,48,0,48,12,50,5,48,0,48,46,69,0,48,35,60,0,48,22,58,0,48,0,48,0,48,0,48,0,48,0,48,0,48,13,49,0,48,0,48,0,48,0,48,0,48,0,48
2,West Ridge,464,170,31,71,31,71,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,228,128,30,66,11,52,0,51,0,51,42,66,5,51,0,51,0,51,14,55,50,77,40,82,0,51,24,62,0,51,12,54,0,51,115,98,15,56,0,51,34,74,0,51,0,51,20,60,30,71,0,51,0,51,0,51,0,51,7,52,0,51,0,51,9,52,0,51,90,71,28,66,0,51,0,51,0,51,9,51,0,51,10,51,0,51,0,51,0,51,6,51,21,53,0,51,0,51,16,55,0,51
3,Uptown,750,245,57,80,5,46,52,79,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,416,186,141,130,58,65,19,53,20,54,0,48,0,48,10,49,16,52,0,48,0,48,8,48,41,76,59,87,37,66,7,48,0,48,234,148,54,77,42,82,0,48,0,48,10,49,0,48,0,48,0,48,0,48,26,53,0,48,0,48,52,96,0,48,50,78,0,48,43,57,0,48,12,49,0,48,0,48,18,55,0,48,0,48,0,48,13,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48
4,Lincoln Square,312,128,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,169,97,0,40,0,40,0,40,0,40,8,40,12,43,43,71,23,43,0,40,0,40,12,43,52,63,6,40,0,40,13,44,0,40,72,53,0,40,23,43,7,40,0,40,0,40,9,41,0,40,4,39,14,46,9,41,0,40,0,40,0,40,0,40,0,40,6,40,71,74,0,40,0,40,36,64,0,40,0,40,0,40,0,40,0,40,10,43,25,52,0,40,0,40,0,40,0,40,0,40,0,40
5,North Center,233,94,22,47,0,43,5,42,0,43,0,43,0,43,0,43,0,43,0,43,0,43,17,47,0,43,0,43,0,43,0,43,0,43,0,43,109,73,0,43,39,58,0,43,0,43,19,49,0,43,0,43,0,43,0,43,0,43,0,43,0,43,11,45,20,52,4,42,16,44,55,59,0,43,0,43,0,43,0,43,10,44,24,54,0,43,0,43,0,43,0,43,10,44,0,43,0,43,0,43,0,43,11,46,47,50,7,43,0,43,13,46,8,43,0,43,0,43,0,43,9,44,10,44,0,43,0,43,0,43,0,43,0,43,0,43,0,43
6,Lake View,752,192,80,73,21,67,10,67,0,66,5,66,23,68,0,66,0,66,0,66,0,66,5,66,16,70,0,66,0,66,0,66,0,66,0,66,545,171,40,74,0,66,0,66,6,66,10,67,77,100,0,66,49,80,0,66,57,74,73,96,57,74,56,86,17,70,54,80,49,77,110,88,31,81,0,66,0,66,0,66,25,68,9,67,8,67,24,70,0,66,0,66,4,66,0,66,9,67,0,66,0,66,0,66,17,71,0,66,0,66,0,66,0,66,17,71,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66
7,Lincoln Park,461,167,36,55,11,53,0,51,0,51,0,51,0,51,0,51,0,51,7,51,5,50,0,51,0,51,0,51,13,53,0,51,0,51,0,51,329,148,20,53,0,51,0,51,13,52,0,51,0,51,0,51,9,52,16,51,27,62,7,51,16,52,40,61,62,72,112,124,7,51,59,63,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,16,57,9,51,0,51,9,51,0,51,0,51,18,56,7,51,37,71,0,51,0,51,29,71,0,51,8,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,646,248,57,68,32,62,0,54,13,58,0,54,0,54,0,54,0,54,0,54,12,57,0,54,0,54,0,54,0,54,0,54,0,54,0,54,394,189,12,56,0,54,0,54,0,54,0,54,0,54,0,54,76,132,0,54,37,79,50,83,98,93,42,65,55,76,0,54,24,58,146,154,0,54,10,56,86,147,21,61,0,54,0,54,0,54,0,54,0,54,16,59,13,57,0,54,0,54,0,54,0,54,0,54,49,64,0,54,16,59,0,54,28,61,0,54,0,54,0,54,0,54,5,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
9,Edison Park,67,55,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,21,40,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,21,40,0,25,0,25,0,25,0,25,0,25,0,25,22,35,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,4,24,0,25,0,25,18,36,24,34,0,25,0,25,0,25,0,25,0,25,12,30,0,25,0,25,0,25,0,25,0,25,0,25,0,25,12,28,0,25,0,25
10,Norwood Park,153,110,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,114,105,0,39,0,39,0,39,0,39,0,39,0,39,0,39,50,80,0,39,0,39,0,39,23,50,0,39,41,73,0,39,0,39,29,43,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,12,42,17,41,0,39,0,39,0,39,0,39,10,40,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,10,40,0,39,0,39,0,39,0,39,0,39
