area_id,area_name,b05003d001,b05003d001_moe,b05003d002,b05003d002_moe,b05003d003,b05003d003_moe,b05003d004,b05003d004_moe,b05003d005,b05003d005_moe,b05003d006,b05003d006_moe,b05003d007,b05003d007_moe,b05003d008,b05003d008_moe,b05003d009,b05003d009_moe,b05003d010,b05003d010_moe,b05003d011,b05003d011_moe,b05003d012,b05003d012_moe,b05003d013,b05003d013_moe,b05003d014,b05003d014_moe,b05003d015,b05003d015_moe,b05003d016,b05003d016_moe,b05003d017,b05003d017_moe,b05003d018,b05003d018_moe,b05003d019,b05003d019_moe,b05003d020,b05003d020_moe,b05003d021,b05003d021_moe,b05003d022,b05003d022_moe,b05003d023,b05003d023_moe
1,Rogers Park,3936,995,1836,523,402,264,187,117,215,241,0,48,215,241,1434,342,433,184,1001,306,426,158,575,263,2100,530,153,110,102,85,51,84,0,48,51,84,1947,501,637,223,1310,434,599,200,711,384
2,West Ridge,17135,2022,8639,1213,1882,484,1395,433,487,204,59,75,428,196,6757,950,803,334,5954,886,3147,406,2807,717,8496,1019,2073,440,1490,403,583,211,99,94,484,202,6423,748,761,235,5662,703,3158,433,2504,549
3,Uptown,6425,763,3037,521,363,174,349,173,14,52,0,48,14,52,2674,489,612,190,2062,426,1049,235,1013,375,3388,474,335,146,257,129,78,67,48,59,30,56,3053,441,573,183,2480,382,1529,305,951,252
4,Lincoln Square,4027,722,1960,425,303,168,190,108,113,101,0,40,113,101,1657,354,564,181,1093,278,514,157,579,197,2067,399,399,191,249,141,150,106,20,43,130,105,1668,307,391,139,1277,264,744,175,533,201
5,North Center,1400,341,705,218,77,67,35,48,42,63,42,63,0,43,628,205,339,161,289,114,242,106,47,57,695,187,20,47,20,47,0,43,0,43,0,43,675,182,217,106,458,148,387,138,71,59
6,Lake View,6710,799,2886,420,290,150,272,149,18,67,8,66,10,67,2596,367,1001,236,1595,284,685,189,910,239,3824,576,514,210,374,187,140,127,66,81,74,118,3310,456,1314,297,1996,349,1131,230,865,262
7,Lincoln Park,3728,536,1965,381,298,191,288,190,10,52,10,52,0,51,1667,299,771,211,896,212,389,111,507,195,1763,305,208,121,117,91,91,93,78,92,13,53,1555,268,719,188,836,194,575,170,261,104
8,Near North Side,8780,965,3956,573,337,173,225,154,112,96,0,54,112,96,3619,514,947,269,2672,458,1121,275,1551,391,4824,616,308,164,210,147,98,91,53,83,45,67,4516,571,1621,352,2895,483,1221,288,1674,402
9,Edison Park,242,176,88,85,23,40,23,40,0,25,0,25,0,25,65,61,0,25,65,61,36,41,29,39,154,132,81,121,0,25,81,121,81,121,0,25,73,55,9,27,64,49,57,48,7,25
10,Norwood Park,1761,541,779,315,155,114,148,113,7,39,7,39,0,39,624,237,230,190,394,140,357,138,37,49,982,290,191,135,170,135,21,42,21,42,0,39,791,209,97,64,694,202,545,179,149,96
11,Jefferson Park,2537,748,1251,377,315,121,282,115,33,43,13,36,20,38,936,306,89,71,847,309,369,133,478,264,1286,400,222,105,202,99,20,42,0,29,20,42,1064,351,156,100,908,337,522,214,386,160
12,Forest Glen,2269,411,1019,191,185,80,168,77,17,37,0,29,17,37,834,157,193,94,641,133,561,119,80,63,1250,286,317,149,289,147,28,41,20,41,8,30,933,190,287,170,646,154,557,144,89,49
13,North Park,5261,745,2445,368,857,207,650,170,207,130,89,86,118,87,1588,259,176,112,1412,239,925,184,487,152,2816,444,646,191,432,152,214,116,79,76,135,90,2170,321,243,100,1927,289,1351,224,576,163
14,Albany Park,6733,1070,3263,595,375,143,236,115,139,99,87,85,52,56,2888,537,453,166,2435,489,1381,319,1054,368,3470,574,596,211,492,201,104,71,7,46,97,70,2874,454,317,121,2557,422,1600,334,957,268
15,Portage Park,2878,697,1403,384,287,143,199,106,88,78,45,70,43,58,1116,289,292,128,824,265,518,227,306,147,1475,377,218,111,207,109,11,50,0,47,11,50,1257,342,248,151,1009,294,682,212,327,187
16,Irving Park,4057,775,1808,394,344,129,293,115,51,58,30,57,21,47,1464,336,420,162,1044,279,648,183,396,164,2249,454,214,98,162,89,52,57,52,57,0,47,2035,418,409,161,1626,360,1028,293,598,205
17,Dunning,1665,451,697,221,168,99,168,99,0,40,0,40,0,40,529,167,85,63,444,137,322,116,122,84,968,268,130,75,109,73,21,42,0,40,21,42,838,225,135,95,703,196,516,165,187,94
18,Montclare,552,317,268,166,133,91,117,87,16,31,0,23,16,31,135,85,16,24,119,84,62,52,57,66,284,179,90,88,44,52,46,75,0,23,46,75,194,115,9,22,185,114,105,75,80,74
19,Belmont Cragin,1124,396,393,153,54,66,47,67,7,51,0,52,7,51,339,133,30,55,309,131,220,112,89,76,731,280,148,136,135,135,13,55,0,52,13,55,583,216,44,61,539,209,428,183,111,82
20,Hermosa,111,79,73,65,0,29,0,29,0,29,0,29,0,29,73,65,56,58,17,33,17,33,0,29,38,45,0,29,0,29,0,29,0,29,0,29,38,45,0,29,38,45,38,45,0,29
21,Avondale,1311,448,616,256,141,114,141,114,0,38,0,38,0,38,475,195,115,85,360,164,272,137,88,95,695,234,112,90,107,90,5,38,0,38,5,38,583,197,69,58,514,188,257,125,257,138
22,Logan Square,2146,383,938,221,108,79,100,79,8,57,0,57,8,57,830,205,496,175,334,110,194,90,140,81,1208,238,116,78,109,78,7,57,0,57,7,57,1092,214,480,153,612,148,409,119,203,101
23,Humboldt Park,147,121,45,60,0,51,0,51,0,51,0,51,0,51,45,60,10,53,35,54,21,51,14,54,102,91,0,51,0,51,0,51,0,51,0,51,102,91,47,71,55,54,46,54,9,50
24,West Town,3356,499,1661,334,247,130,150,102,97,101,46,89,51,79,1414,290,871,247,543,157,281,106,262,127,1695,278,184,97,130,86,54,71,17,67,37,67,1511,245,778,183,733,179,482,145,251,121
25,Austin,351,184,155,113,5,61,0,61,5,61,5,61,0,61,150,105,19,62,131,98,97,95,34,63,196,109,5,60,5,60,0,61,0,61,0,61,191,103,17,64,174,97,135,93,39,66
26,West Garfield Park,18,41,18,41,0,35,0,35,0,35,0,35,0,35,18,41,0,35,18,41,1,33,17,43,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,92,61,19,42,0,38,0,38,0,38,0,38,0,38,19,42,10,40,9,39,9,39,0,38,73,54,5,37,5,37,0,38,0,38,0,38,68,53,40,47,28,43,21,41,7,38
28,Near West Side,8035,797,4238,571,343,134,282,128,61,66,29,63,32,54,3895,540,1203,318,2692,446,713,199,1979,416,3797,464,291,121,252,117,39,57,9,53,30,56,3506,441,1069,247,2437,384,838,197,1599,318
29,North Lawndale,72,86,26,48,6,43,6,43,0,43,0,43,0,43,20,44,6,43,14,44,14,44,0,43,46,74,12,45,12,45,0,43,0,43,0,43,34,69,0,43,34,69,6,42,28,69
30,South Lawndale,115,80,74,55,0,48,0,48,0,48,0,48,0,48,74,55,32,51,42,48,26,48,16,46,41,56,13,51,13,51,0,48,0,48,0,48,28,53,6,48,22,53,7,48,15,48
31,Lower West Side,390,162,189,110,0,42,0,42,0,42,0,42,0,42,189,110,138,96,51,56,0,42,51,56,201,114,0,42,0,42,0,42,0,42,0,42,201,114,126,104,75,57,43,44,32,54
32,Loop,4362,672,1756,383,44,48,44,48,0,30,0,30,0,30,1712,375,417,160,1295,336,502,234,793,261,2606,492,84,70,66,66,18,38,0,30,18,38,2522,486,1006,370,1516,327,523,187,993,294
33,Near South Side,3692,698,1705,401,267,213,200,202,67,81,0,24,67,81,1438,344,424,178,1014,322,425,157,589,285,1987,503,230,134,204,132,26,37,8,24,18,35,1757,451,583,226,1174,371,443,176,731,332
34,Armour Square,9179,755,4455,432,721,195,443,147,278,130,45,45,233,124,3734,362,850,260,2884,379,1312,232,1572,366,4724,465,858,267,726,271,132,97,4,24,128,97,3866,341,595,154,3271,336,2063,296,1208,238
35,Douglas,2335,497,1346,307,104,84,66,56,38,55,0,35,38,55,1242,289,68,48,1174,285,151,79,1023,278,989,282,74,68,55,62,19,45,0,35,19,45,915,263,147,91,768,237,113,63,655,227
36,Oakland,57,65,4,17,0,19,0,19,0,19,0,19,0,19,4,17,0,19,4,17,0,19,4,17,53,64,0,19,0,19,0,19,0,19,0,19,53,64,0,19,53,64,34,39,19,35
37,Fuller Park,11,19,11,19,0,16,0,16,0,16,0,16,0,16,11,19,0,16,11,19,11,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,68,64,52,53,0,43,0,43,0,43,0,43,0,43,52,53,19,49,33,48,9,43,24,48,16,48,8,43,8,43,0,43,0,43,0,43,8,43,0,43,8,43,0,43,8,43
39,Kenwood,1065,300,504,195,30,40,30,40,0,31,0,31,0,31,474,189,132,137,342,126,74,68,268,108,561,208,34,46,9,32,25,46,25,46,0,31,527,201,79,81,448,152,179,103,269,119
40,Washington Park,9,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,9,28,0,27,0,27,0,27,0,27,0,27,9,28,0,27,9,28,9,28,0,27
41,Hyde Park,2847,448,1323,258,101,76,58,65,43,56,7,38,36,56,1222,243,408,155,814,190,257,106,557,159,1524,272,181,93,147,78,34,58,0,38,34,58,1343,234,314,113,1029,208,377,122,652,167
42,Woodlawn,598,165,255,106,2,35,2,35,0,36,0,36,0,36,253,106,40,48,213,99,35,47,178,97,343,110,7,37,7,37,0,36,0,36,0,36,336,109,194,90,142,69,49,43,93,61
