area_id,area_name,b10051f001,b10051f001_moe,b10051f002,b10051f002_moe,b10051f003,b10051f003_moe,b10051f004,b10051f004_moe,b10051f005,b10051f005_moe,b10051f006,b10051f006_moe,b10051f007,b10051f007_moe
1,Rogers Park,156,135,14,50,0,48,14,50,142,134,119,127,23,60
2,West Ridge,232,160,0,51,0,51,0,51,232,160,135,136,97,99
3,Uptown,82,98,22,57,22,57,0,48,60,84,60,84,0,48
4,Lincoln Square,159,104,49,55,49,55,0,40,110,77,75,61,35,48
5,North Center,12,46,0,43,0,43,0,43,12,46,12,46,0,43
6,Lake View,0,66,0,66,0,66,0,66,0,66,0,66,0,66
7,Lincoln Park,0,51,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,8,55,0,54,0,54,0,54,8,55,8,55,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,81,84,0,39,0,39,0,39,81,84,81,84,0,39
11,Jefferson Park,28,53,0,29,0,29,0,29,28,53,0,29,28,53
12,Forest Glen,51,64,0,29,0,29,0,29,51,64,26,40,25,40
13,North Park,20,41,20,41,0,27,20,41,0,27,0,27,0,27
14,Albany Park,977,316,318,168,277,162,41,63,659,226,449,193,210,124
15,Portage Park,864,262,260,128,194,108,66,83,604,229,343,182,261,146
16,Irving Park,535,219,135,121,96,111,39,66,400,189,273,163,127,99
17,Dunning,188,113,74,86,44,76,30,64,114,84,114,84,0,40
18,Montclare,149,131,91,88,74,78,17,31,58,63,48,60,10,29
19,Belmont Cragin,2218,423,505,193,367,164,138,98,1713,343,1111,291,602,188
20,Hermosa,641,229,156,123,156,123,0,29,485,181,331,156,154,88
21,Avondale,192,126,53,81,53,81,0,38,139,109,77,81,62,76
22,Logan Square,331,171,97,81,78,80,19,59,234,163,98,89,136,124
23,Humboldt Park,818,254,390,172,254,140,136,86,428,191,243,143,185,148
24,West Town,324,130,167,104,140,92,27,67,157,100,84,78,73,81
25,Austin,247,176,54,75,39,70,15,64,193,164,172,158,21,64
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,22,55,22,55,11,54,11,53,0,52,0,52,0,52
29,North Lawndale,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,521,220,257,184,257,184,0,48,264,140,51,79,213,124
31,Lower West Side,431,207,115,99,115,99,0,42,316,168,113,94,203,128
32,Loop,0,30,0,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,0,24,0,24,0,24,0,24,0,24,0,24,0,24
34,Armour Square,35,51,0,27,0,27,0,27,35,51,0,27,35,51
35,Douglas,0,35,0,35,0,35,0,35,0,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19
