area_id,area_name,b18101d001,b18101d001_moe,b18101d002,b18101d002_moe,b18101d003,b18101d003_moe,b18101d004,b18101d004_moe,b18101d005,b18101d005_moe,b18101d006,b18101d006_moe,b18101d007,b18101d007_moe,b18101d008,b18101d008_moe,b18101d009,b18101d009_moe,b18101d010,b18101d010_moe
1,Rogers Park,3880,992,538,323,40,72,498,318,2893,726,218,191,2675,688,449,189,166,112,283,141
2,West Ridge,17120,2021,3955,708,95,103,3860,694,11492,1399,609,218,10883,1371,1673,379,678,211,995,284
3,Uptown,6381,763,698,236,0,48,698,236,4461,662,92,68,4369,658,1222,291,472,173,750,218
4,Lincoln Square,4023,721,702,300,0,40,702,300,2863,500,106,88,2757,492,458,165,122,78,336,145
5,North Center,1400,341,97,80,0,43,97,80,1044,279,50,74,994,272,259,118,88,63,171,96
6,Lake View,6708,799,804,265,5,66,799,264,5302,623,155,111,5147,611,602,199,151,99,451,174
7,Lincoln Park,3728,536,506,232,5,51,501,230,3113,416,85,75,3028,411,109,75,35,59,74,67
8,Near North Side,8780,965,645,293,0,54,645,293,7741,815,173,128,7568,802,394,215,63,71,331,206
9,Edison Park,242,176,104,126,81,121,23,40,128,100,0,25,128,100,10,27,0,25,10,27
10,Norwood Park,1752,540,346,184,0,39,346,184,1174,397,79,68,1095,393,232,119,34,45,198,114
11,Jefferson Park,2537,748,537,194,0,29,537,194,1781,614,50,46,1731,610,219,114,52,68,167,95
12,Forest Glen,2269,411,502,185,0,29,502,185,1569,255,70,47,1499,254,198,116,86,90,112,78
13,North Park,5228,744,1503,343,13,31,1490,343,2996,464,120,74,2876,458,729,212,224,134,505,156
14,Albany Park,6713,1070,971,287,22,53,949,280,4574,805,388,186,4186,784,1168,259,489,195,679,224
15,Portage Park,2862,695,505,207,9,48,496,205,2053,510,115,89,1938,468,304,118,93,72,211,98
16,Irving Park,4057,775,558,193,23,53,535,189,2930,559,228,172,2702,488,569,229,257,147,312,161
17,Dunning,1635,448,297,138,0,40,297,138,1154,315,39,57,1115,304,184,85,51,58,133,65
18,Montclare,547,316,223,140,16,31,207,132,324,189,38,53,286,169,0,23,0,23,0,23
19,Belmont Cragin,1124,396,202,162,0,52,202,162,777,287,93,86,684,236,145,88,44,62,101,81
20,Hermosa,111,79,0,29,0,29,0,29,94,72,8,30,86,67,17,33,0,29,17,33
21,Avondale,1311,448,253,149,63,108,190,110,939,329,31,48,908,317,119,85,16,41,103,84
22,Logan Square,2141,383,224,112,7,57,217,111,1813,336,23,58,1790,335,104,81,11,59,93,80
23,Humboldt Park,147,121,0,51,0,51,0,51,129,119,14,53,115,103,18,52,0,51,18,52
24,West Town,3356,499,431,167,29,77,402,155,2887,409,90,76,2797,405,38,65,0,62,38,65
25,Austin,336,181,10,66,5,61,5,60,261,133,28,65,233,131,65,80,6,62,59,73
26,West Garfield Park,18,41,0,35,0,35,0,35,18,41,1,33,17,43,0,35,0,35,0,35
27,East Garfield Park,92,61,5,37,0,38,5,37,80,57,12,44,68,52,7,39,0,38,7,39
28,Near West Side,8019,796,634,187,0,52,634,187,7093,714,120,101,6973,704,292,142,63,69,229,127
29,North Lawndale,37,65,18,51,0,43,18,51,19,46,12,43,7,43,0,43,0,43,0,43
30,South Lawndale,75,76,13,51,0,48,13,51,45,54,2,47,43,54,17,55,0,48,17,55
31,Lower West Side,390,162,0,42,0,42,0,42,387,161,7,42,380,161,3,41,3,41,0,42
32,Loop,4333,672,128,86,0,30,128,86,3937,660,23,33,3914,660,268,147,145,135,123,93
33,Near South Side,3648,700,497,267,7,25,490,266,2854,551,19,41,2835,554,297,240,161,211,136,112
34,Armour Square,9179,755,1579,354,14,32,1565,356,5444,589,102,63,5342,581,2156,341,706,188,1450,307
35,Douglas,2317,497,178,105,0,35,178,105,2089,461,1,33,2088,460,50,50,28,45,22,41
36,Oakland,57,65,0,19,0,19,0,19,38,40,0,19,38,40,19,35,19,35,0,19
37,Fuller Park,11,19,0,16,0,16,0,16,0,16,0,16,0,16,11,19,0,16,11,19
38,Grand Boulevard,63,64,8,43,0,43,8,43,45,52,0,43,45,52,10,44,0,43,10,44
39,Kenwood,1054,299,64,60,0,31,64,60,944,272,0,31,944,272,46,50,12,34,34,46
40,Washington Park,9,28,0,27,0,27,0,27,0,27,0,27,0,27,9,28,0,27,9,28
41,Hyde Park,2847,448,282,132,0,38,282,132,2394,365,13,38,2381,364,171,98,111,82,60,56
42,Woodlawn,596,165,7,37,0,36,7,37,571,160,6,36,565,159,18,39,18,39,0,36
43,South Shore,67,71,0,44,0,44,0,44,67,71,0,44,67,71,0,44,0,44,0,44
44,Chatham,23,42,0,37,0,37,0,37,23,42,0,37,23,42,0,37,0,37,0,37
45,Avalon Park,34,42,0,19,0,19,0,19,34,42,0,19,34,42,0,19,0,19,0,19
46,South Chicago,86,102,35,61,0,37,35,61,51,64,0,37,51,64,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,0,27,0,27,0,27,0,27,0,27,0,27,14,31,0,27,14,31
49,Roseland,217,152,50,81,0,41,50,81,125,81,18,49,107,77,42,55,16,48,26,49
50,Pullman,39,53,7,20,0,19,7,20,32,43,0,19,32,43,0,19,0,19,0,19
51,South Deering,49,58,0,25,0,25,0,25,49,58,0,25,49,58,0,25,0,25,0,25
52,East Side,101,109,33,58,0,29,33,58,68,64,0,29,68,64,0,29,0,29,0,29
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,34,57,17,31,0,19,17,31,17,30,0,19,17,30,0,19,0,19,0,19
56,Garfield Ridge,647,310,146,95,0,42,146,95,416,211,20,50,396,203,85,76,43,70,42,48
57,Archer Heights,212,178,36,45,0,27,36,45,172,163,50,79,122,97,4,26,4,26,0,27
58,Brighton Park,2741,491,575,168,11,45,564,165,1984,364,37,53,1947,359,182,90,51,56,131,79
59,McKinley Park,2675,437,648,169,14,30,634,167,1877,313,50,41,1827,308,150,77,58,48,92,54
60,Bridgeport,10772,980,1751,292,5,36,1746,292,8128,818,266,89,7862,802,893,225,276,140,617,167
61,New City,563,153,195,83,0,47,195,83,368,118,0,47,368,118,0,47,0,47,0,47
62,West Elsdon,322,174,62,77,0,27,62,77,222,115,12,31,210,111,38,32,20,30,18,26
63,Gage Park,471,240,128,102,0,41,128,102,292,153,21,50,271,140,51,54,24,43,27,43
64,Clearing,186,231,26,51,0,31,26,51,150,190,0,31,150,190,10,33,0,31,10,33
65,West Lawn,95,88,0,34,0,34,0,34,59,53,0,34,59,53,36,50,9,34,27,43
66,Chicago Lawn,436,304,32,63,0,49,32,63,330,277,3,48,327,277,74,76,14,51,60,70
67,West Englewood,41,65,0,48,0,48,0,48,41,65,0,48,41,65,0,48,0,48,0,48
