area_id,area_name,b20005d001,b20005d001_moe,b20005d002,b20005d002_moe,b20005d003,b20005d003_moe,b20005d004,b20005d004_moe,b20005d005,b20005d005_moe,b20005d006,b20005d006_moe,b20005d007,b20005d007_moe,b20005d008,b20005d008_moe,b20005d009,b20005d009_moe,b20005d010,b20005d010_moe,b20005d011,b20005d011_moe,b20005d012,b20005d012_moe,b20005d013,b20005d013_moe,b20005d014,b20005d014_moe,b20005d015,b20005d015_moe,b20005d016,b20005d016_moe,b20005d017,b20005d017_moe,b20005d018,b20005d018_moe,b20005d019,b20005d019_moe,b20005d020,b20005d020_moe,b20005d021,b20005d021_moe,b20005d022,b20005d022_moe,b20005d023,b20005d023_moe,b20005d024,b20005d024_moe,b20005d025,b20005d025_moe,b20005d026,b20005d026_moe,b20005d027,b20005d027_moe,b20005d028,b20005d028_moe,b20005d029,b20005d029_moe,b20005d030,b20005d030_moe,b20005d031,b20005d031_moe,b20005d032,b20005d032_moe,b20005d033,b20005d033_moe,b20005d034,b20005d034_moe,b20005d035,b20005d035_moe,b20005d036,b20005d036_moe,b20005d037,b20005d037_moe,b20005d038,b20005d038_moe,b20005d039,b20005d039_moe,b20005d040,b20005d040_moe,b20005d041,b20005d041_moe,b20005d042,b20005d042_moe,b20005d043,b20005d043_moe,b20005d044,b20005d044_moe,b20005d045,b20005d045_moe,b20005d046,b20005d046_moe,b20005d047,b20005d047_moe,b20005d048,b20005d048_moe,b20005d049,b20005d049_moe,b20005d050,b20005d050_moe,b20005d051,b20005d051_moe,b20005d052,b20005d052_moe,b20005d053,b20005d053_moe,b20005d054,b20005d054_moe,b20005d055,b20005d055_moe,b20005d056,b20005d056_moe,b20005d057,b20005d057_moe,b20005d058,b20005d058_moe,b20005d059,b20005d059_moe,b20005d060,b20005d060_moe,b20005d061,b20005d061_moe,b20005d062,b20005d062_moe,b20005d063,b20005d063_moe,b20005d064,b20005d064_moe,b20005d065,b20005d065_moe,b20005d066,b20005d066_moe,b20005d067,b20005d067_moe,b20005d068,b20005d068_moe,b20005d069,b20005d069_moe,b20005d070,b20005d070_moe,b20005d071,b20005d071_moe,b20005d072,b20005d072_moe,b20005d073,b20005d073_moe,b20005d074,b20005d074_moe,b20005d075,b20005d075_moe,b20005d076,b20005d076_moe,b20005d077,b20005d077_moe,b20005d078,b20005d078_moe,b20005d079,b20005d079_moe,b20005d080,b20005d080_moe,b20005d081,b20005d081_moe,b20005d082,b20005d082_moe,b20005d083,b20005d083_moe,b20005d084,b20005d084_moe,b20005d085,b20005d085_moe,b20005d086,b20005d086_moe,b20005d087,b20005d087_moe,b20005d088,b20005d088_moe,b20005d089,b20005d089_moe,b20005d090,b20005d090_moe,b20005d091,b20005d091_moe,b20005d092,b20005d092_moe,b20005d093,b20005d093_moe,b20005d094,b20005d094_moe,b20005d095,b20005d095_moe
1,Rogers Park,3438,784,1483,371,687,228,0,48,687,228,0,48,5,48,0,48,0,48,7,47,0,48,32,58,0,48,0,48,46,64,69,89,22,50,0,48,96,71,45,86,29,51,104,122,31,68,92,77,109,95,796,298,517,204,279,151,8,48,37,53,10,46,9,49,73,84,7,48,10,47,0,48,15,53,0,48,40,73,0,48,38,62,20,56,0,48,0,48,12,51,0,48,0,48,0,48,1955,501,426,155,0,48,426,155,0,48,0,48,10,50,0,48,41,59,9,47,0,48,0,48,33,51,14,51,0,48,33,55,15,52,77,83,21,52,67,71,0,48,46,53,50,62,10,49,1529,459,934,396,595,214,146,107,67,68,47,53,0,48,13,50,36,70,65,87,79,73,0,48,40,67,0,48,0,48,35,72,0,48,0,48,7,46,17,54,43,81,0,48,0,48
2,West Ridge,13693,1608,7025,991,3392,597,0,51,3392,597,16,55,0,51,0,51,0,51,107,90,83,83,331,217,234,148,199,119,21,55,445,203,523,202,275,144,185,113,122,107,271,145,164,92,47,64,180,106,189,102,3633,743,2192,640,1441,345,260,137,138,92,107,114,88,106,158,121,116,91,178,135,22,61,49,68,76,81,24,57,37,58,17,56,37,57,23,55,29,57,18,62,8,52,41,67,15,55,6668,760,2122,420,0,51,2122,420,0,51,0,51,15,56,29,58,154,107,80,128,193,131,46,63,123,101,107,94,219,106,193,150,62,66,155,98,94,108,134,114,181,125,103,77,176,106,58,69,4546,635,3237,553,1309,287,213,119,184,100,227,155,155,95,129,104,37,61,43,61,16,56,150,117,30,58,42,71,50,70,0,51,0,51,9,51,17,58,0,51,0,51,7,51,0,51
3,Uptown,5769,702,2674,489,1494,409,0,48,1494,409,0,48,0,48,0,48,45,83,11,50,70,81,42,57,0,48,190,207,6,48,11,48,154,117,39,58,138,113,17,47,227,137,106,82,98,88,200,97,140,82,1180,276,671,200,509,190,83,115,85,68,64,79,23,51,30,57,73,99,39,58,0,48,15,51,0,48,62,81,13,50,12,50,0,48,0,48,0,48,10,49,0,48,0,48,0,48,3095,455,1172,289,0,48,1172,289,0,48,0,48,0,48,0,48,0,48,35,56,98,77,91,128,65,82,54,75,49,67,33,56,121,110,35,59,0,48,14,50,121,88,186,140,111,82,159,95,1923,363,1105,262,818,250,71,73,47,64,76,75,142,96,19,54,27,57,89,98,31,57,14,53,0,48,111,98,85,111,0,48,14,50,0,48,32,68,0,48,0,48,21,55,39,63
4,Lincoln Square,3389,571,1657,354,824,209,0,40,824,209,0,40,0,40,38,67,0,40,42,69,0,40,24,53,19,48,1,37,14,43,72,74,85,72,56,57,25,46,47,58,24,46,76,66,114,83,92,71,95,75,833,276,357,196,476,150,48,57,69,73,27,48,21,49,45,54,21,43,48,58,0,40,13,44,11,43,19,46,59,62,0,40,82,69,13,43,0,40,0,40,0,40,0,40,0,40,1732,322,843,223,0,40,843,223,0,40,0,40,0,40,0,40,15,44,70,77,35,49,33,64,0,40,0,40,86,62,43,55,88,70,76,66,48,73,55,52,59,60,117,102,71,54,47,50,889,224,469,169,420,124,34,46,26,47,47,53,0,40,53,58,41,47,23,47,15,45,0,40,0,40,37,61,23,44,10,42,25,51,11,42,14,43,13,41,0,40,30,62,18,42
5,North Center,1303,323,628,205,401,135,0,43,401,135,0,43,0,43,0,43,7,43,0,43,0,43,10,44,0,43,0,43,44,73,50,68,0,43,12,46,18,45,0,43,49,75,18,45,45,56,61,52,87,58,227,134,72,61,155,110,51,79,0,43,17,50,0,43,28,59,0,43,27,51,0,43,0,43,0,43,0,43,0,43,23,52,0,43,0,43,0,43,0,43,9,43,0,43,0,43,675,182,364,128,0,43,364,128,0,43,0,43,0,43,7,43,0,43,0,43,0,43,0,43,0,43,0,43,56,77,32,50,21,46,16,43,10,44,23,47,73,71,11,43,34,51,81,68,311,115,239,107,72,54,0,43,0,43,13,44,0,43,8,43,0,43,0,43,9,44,7,43,12,44,14,47,9,44,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
6,Lake View,5949,660,2639,373,1725,281,0,66,1725,281,0,66,17,71,0,66,0,66,35,84,0,66,0,66,0,66,15,68,29,80,52,81,55,77,58,80,71,85,48,72,118,116,148,105,191,125,348,151,540,154,914,221,329,124,585,190,26,68,90,100,101,103,99,111,27,71,0,66,13,68,0,66,32,74,0,66,0,66,26,71,12,68,0,66,6,66,19,72,0,66,37,76,77,98,20,66,3310,456,1685,304,0,66,1685,304,0,66,0,66,0,66,5,66,15,69,46,81,0,66,0,66,54,90,0,66,89,93,36,76,42,77,67,73,233,137,110,90,191,110,270,170,265,121,262,113,1625,341,819,241,806,231,189,139,29,71,94,87,75,95,18,68,49,102,14,69,26,72,32,70,29,75,15,69,47,74,59,100,33,70,25,70,6,66,21,69,0,66,0,66,45,74
7,Lincoln Park,3252,426,1677,300,780,189,0,51,780,189,0,51,0,51,0,51,0,51,51,72,0,51,0,51,0,51,54,68,0,51,0,51,15,54,12,53,40,67,10,52,111,83,88,79,45,59,170,103,184,78,897,228,294,136,603,186,140,89,46,64,36,59,0,51,104,101,12,52,24,56,0,51,0,51,8,51,20,57,15,55,38,64,0,51,0,51,36,65,63,84,11,55,35,66,15,55,1575,269,797,197,0,51,797,197,0,51,0,51,0,51,0,51,34,74,39,64,0,51,0,51,4,50,0,51,19,57,54,61,24,52,49,65,43,64,21,55,150,103,67,67,148,104,145,78,778,186,198,88,580,168,120,83,77,92,24,55,10,50,23,55,0,51,0,51,37,64,65,67,23,56,0,51,24,56,0,51,32,62,20,54,24,63,21,55,7,51,11,53,62,85
8,Near North Side,8146,845,3619,514,2519,441,0,54,2519,441,4,54,3,54,0,54,0,54,0,54,0,54,25,64,16,59,0,54,0,54,68,72,13,56,54,92,115,102,55,67,266,150,237,150,209,147,424,187,1030,313,1100,288,333,158,767,255,89,81,58,81,25,58,0,54,29,61,27,65,10,54,0,54,0,54,48,91,0,54,32,65,63,78,0,54,0,54,78,98,106,119,16,60,90,133,96,87,4527,572,2125,366,0,54,2125,366,0,54,0,54,0,54,0,54,0,54,0,54,66,86,48,81,0,54,0,54,8,55,61,69,105,97,218,137,12,55,107,84,233,134,170,104,406,169,691,210,2402,442,1370,352,1032,271,81,85,62,76,43,71,37,63,161,146,45,75,83,85,28,61,46,73,0,54,94,98,26,60,0,54,15,57,31,63,38,82,66,90,21,57,46,66,109,116
9,Edison Park,138,101,65,61,43,46,0,25,43,46,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,13,29,22,39,0,25,0,25,8,26,0,25,22,45,0,25,22,45,0,25,8,26,0,25,0,25,0,25,0,25,0,25,0,25,14,34,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,73,55,47,47,0,25,47,47,0,25,0,25,1,19,0,25,0,25,0,25,0,25,0,25,0,25,15,31,0,25,0,25,0,25,22,40,0,25,0,25,0,25,9,26,0,25,0,25,26,31,7,25,19,29,0,25,9,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,10,27,0,25
10,Norwood Park,1415,403,624,237,400,170,0,39,400,170,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,14,41,65,108,11,41,0,39,25,48,23,43,49,86,46,61,18,39,102,89,47,51,224,112,113,70,111,94,0,39,32,53,49,83,0,39,0,39,0,39,0,39,0,39,0,39,0,39,7,39,0,39,7,39,0,39,7,39,0,39,0,39,0,39,0,39,9,40,791,209,285,109,0,39,285,109,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,19,47,24,46,40,50,0,39,23,41,11,41,0,39,63,60,33,46,18,46,54,73,506,185,316,153,190,109,80,87,0,39,11,40,13,41,0,39,11,41,13,41,0,39,35,60,0,39,0,39,0,39,0,39,0,39,14,42,0,39,0,39,0,39,0,39,13,41
11,Jefferson Park,2044,644,980,314,334,126,0,29,334,126,0,29,0,29,0,29,0,29,0,29,33,53,43,46,0,29,9,31,0,29,20,40,16,39,14,39,0,29,0,29,33,44,23,40,29,44,38,37,76,68,646,259,353,183,293,129,56,60,75,74,0,29,0,29,19,38,0,29,26,38,0,29,0,29,0,29,11,33,21,33,21,35,24,37,0,29,0,29,40,49,0,29,0,29,0,29,1064,351,549,217,0,29,549,217,0,29,0,29,0,29,0,29,0,29,0,29,25,44,0,29,57,61,0,29,24,39,44,71,50,51,59,92,15,37,12,33,35,46,76,60,47,49,105,78,515,189,277,142,238,107,31,48,30,40,66,53,27,44,8,30,26,46,21,35,0,29,0,29,0,29,9,31,0,29,0,29,0,29,0,29,20,40,0,29,0,29,0,29,0,29
12,Forest Glen,1848,304,880,168,441,130,0,29,441,130,0,29,0,29,0,29,0,29,19,30,0,29,0,29,0,29,27,36,0,29,13,36,18,37,0,29,0,29,30,42,64,75,65,66,22,37,112,66,71,52,439,152,268,99,171,96,17,37,72,87,0,29,27,33,0,29,25,44,0,29,0,29,0,29,0,29,0,29,24,47,0,29,0,29,0,29,0,29,0,29,0,29,6,29,0,29,968,199,477,122,0,29,477,122,0,29,0,29,0,29,33,40,0,29,0,29,0,29,0,29,0,29,0,29,14,35,99,86,7,30,25,43,20,42,0,29,65,60,40,54,41,45,133,91,491,150,255,117,236,102,54,61,9,31,30,33,0,29,2,29,24,46,18,39,0,29,0,29,10,32,0,29,0,29,20,34,0,29,25,36,23,44,0,29,11,32,10,32,0,29
13,North Park,3949,552,1711,287,748,169,0,27,748,169,0,27,15,38,23,33,0,27,10,27,0,27,33,46,34,53,85,78,48,52,87,58,46,45,42,41,43,47,18,28,46,56,60,51,23,33,76,70,59,53,963,239,528,157,435,176,61,61,36,40,11,29,23,36,109,114,0,27,43,60,0,27,20,35,11,30,0,27,12,29,0,27,0,27,0,27,19,37,51,57,13,33,0,27,26,35,2238,335,755,178,0,27,755,178,0,27,0,27,0,27,0,27,19,38,0,27,41,42,40,58,32,41,61,60,162,85,58,47,35,34,76,54,27,39,35,37,31,43,24,34,80,61,34,33,1483,289,1017,232,466,150,84,66,62,52,60,65,38,56,8,27,13,26,21,41,13,30,0,27,48,48,0,27,0,27,67,71,20,38,9,29,10,28,0,27,13,33,0,27,0,27
