Sex by Work Experience by Earnings (American Indian and Alaska Native Alone)
----------------------------------------------------------------------------
Universe: American Indian and Alaska Native Alone Population 16 Years and Over

B20005C001 Total:
B20005C002  Male:
B20005C003   Worked full-time, year-round in the past 12 months:
B20005C004    No earnings
B20005C005    With earnings:
B20005C006     $1 to $2,499 or loss
B20005C007     $2,500 to $4,999
B20005C008     $5,000 to $7,499
B20005C009     $7,500 to $9,999
B20005C010     $10,000 to $12,499
B20005C011     $12,500 to $14,999
B20005C012     $15,000 to $17,499
B20005C013     $17,500 to $19,999
B20005C014     $20,000 to $22,499
B20005C015     $22,500 to $24,999
B20005C016     $25,000 to $29,999
B20005C017     $30,000 to $34,999
B20005C018     $35,000 to $39,999
B20005C019     $40,000 to $44,999
B20005C020     $45,000 to $49,999
B20005C021     $50,000 to $54,999
B20005C022     $55,000 to $64,999
B20005C023     $65,000 to $74,999
B20005C024     $75,000 to $99,999
B20005C025     $100,000 or more
B20005C026   Other:
B20005C027    No earnings
B20005C028    With earnings:
B20005C029     $1 to $2,499 or loss
B20005C030     $2,500 to $4,999
B20005C031     $5,000 to $7,499
B20005C032     $7,500 to $9,999
B20005C033     $10,000 to $12,499
B20005C034     $12,500 to $14,999
B20005C035     $15,000 to $17,499
B20005C036     $17,500 to $19,999
B20005C037     $20,000 to $22,499
B20005C038     $22,500 to $24,999
B20005C039     $25,000 to $29,999
B20005C040     $30,000 to $34,999
B20005C041     $35,000 to $39,999
B20005C042     $40,000 to $44,999
B20005C043     $45,000 to $49,999
B20005C044     $50,000 to $54,999
B20005C045     $55,000 to $64,999
B20005C046     $65,000 to $74,999
B20005C047     $75,000 to $99,999
B20005C048     $100,000 or more
B20005C049  Female:
B20005C050   Worked full-time, year-round in the past 12 months:
B20005C051    No earnings
B20005C052    With earnings:
B20005C053     $1 to $2,499 or loss
B20005C054     $2,500 to $4,999
B20005C055     $5,000 to $7,499
B20005C056     $7,500 to $9,999
B20005C057     $10,000 to $12,499
B20005C058     $12,500 to $14,999
B20005C059     $15,000 to $17,499
B20005C060     $17,500 to $19,999
B20005C061     $20,000 to $22,499
B20005C062     $22,500 to $24,999
B20005C063     $25,000 to $29,999
B20005C064     $30,000 to $34,999
B20005C065     $35,000 to $39,999
B20005C066     $40,000 to $44,999
B20005C067     $45,000 to $49,999
B20005C068     $50,000 to $54,999
B20005C069     $55,000 to $64,999
B20005C070     $65,000 to $74,999
B20005C071     $75,000 to $99,999
B20005C072     $100,000 or more
B20005C073   Other:
B20005C074    No earnings
B20005C075    With earnings:
B20005C076     $1 to $2,499 or loss
B20005C077     $2,500 to $4,999
B20005C078     $5,000 to $7,499
B20005C079     $7,500 to $9,999
B20005C080     $10,000 to $12,499
B20005C081     $12,500 to $14,999
B20005C082     $15,000 to $17,499
B20005C083     $17,500 to $19,999
B20005C084     $20,000 to $22,499
B20005C085     $22,500 to $24,999
B20005C086     $25,000 to $29,999
B20005C087     $30,000 to $34,999
B20005C088     $35,000 to $39,999
B20005C089     $40,000 to $44,999
B20005C090     $45,000 to $49,999
B20005C091     $50,000 to $54,999
B20005C092     $55,000 to $64,999
B20005C093     $65,000 to $74,999
B20005C094     $75,000 to $99,999
B20005C095     $100,000 or more
