area_id,area_name,b08105c001,b08105c001_moe,b08105c002,b08105c002_moe,b08105c003,b08105c003_moe,b08105c004,b08105c004_moe,b08105c005,b08105c005_moe,b08105c006,b08105c006_moe,b08105c007,b08105c007_moe
1,Rogers Park,69,86,25,51,0,48,44,69,0,48,0,48,0,48
2,West Ridge,153,130,38,67,26,66,89,95,0,51,0,51,0,51
3,Uptown,116,88,37,61,0,48,66,75,13,49,0,48,0,48
4,Lincoln Square,111,93,25,43,0,40,74,86,4,39,0,40,8,41
5,North Center,32,49,24,49,0,43,8,43,0,43,0,43,0,43
6,Lake View,174,160,40,78,0,66,36,72,98,151,0,66,0,66
7,Lincoln Park,62,78,14,54,0,51,48,69,0,51,0,51,0,51
8,Near North Side,160,149,0,54,0,54,104,135,15,58,41,81,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,15,47,15,47,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,27,45,27,45,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,21,40,21,40,0,29,0,29,0,29,0,29,0,29
13,North Park,24,36,9,26,0,27,0,27,15,34,0,27,0,27
14,Albany Park,68,73,31,56,15,48,9,44,13,48,0,45,0,45
15,Portage Park,112,133,48,59,59,106,5,47,0,47,0,47,0,47
16,Irving Park,86,87,78,88,0,47,0,47,7,48,0,47,1,46
17,Dunning,12,39,6,40,6,40,0,40,0,40,0,40,0,40
18,Montclare,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,51,63,38,58,13,54,0,52,0,52,0,52,0,52
20,Hermosa,23,38,11,33,12,34,0,29,0,29,0,29,0,29
21,Avondale,161,189,9,40,0,38,152,188,0,38,0,38,0,38
22,Logan Square,23,58,0,57,12,59,0,57,11,57,0,57,0,57
23,Humboldt Park,49,71,24,64,0,51,0,51,25,60,0,51,0,51
24,West Town,173,92,33,64,0,62,38,66,36,72,54,76,12,64
25,Austin,55,91,41,88,0,61,14,64,0,61,0,61,0,61
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,96,81,4,51,12,53,65,79,15,54,0,52,0,52
29,North Lawndale,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,130,89,26,51,66,74,25,52,13,51,0,48,0,48
31,Lower West Side,23,41,7,42,16,41,0,42,0,42,0,42,0,42
32,Loop,17,30,10,30,0,30,7,30,0,30,0,30,0,30
33,Near South Side,38,47,25,41,0,24,0,24,0,24,13,27,0,24
34,Armour Square,0,27,0,27,0,27,0,27,0,27,0,27,0,27
35,Douglas,13,35,0,35,0,35,6,35,7,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,0,43,0,43,0,43,0,43,0,43,0,43,0,43
39,Kenwood,0,31,0,31,0,31,0,31,0,31,0,31,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,19,37,9,36,0,38,0,38,0,38,10,39,0,38
42,Woodlawn,53,57,14,41,0,36,17,43,0,36,0,36,22,42
43,South Shore,19,53,19,53,0,44,0,44,0,44,0,44,0,44
44,Chatham,12,38,12,38,0,37,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,0,41,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,0,25,0,25,0,25,0,25,0,25,0,25,0,25
52,East Side,53,57,32,47,0,29,21,43,0,29,0,29,0,29
53,West Pullman,5,38,0,39,0,39,0,39,0,39,0,39,5,38
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,17,29,0,19,17,29,0,19,0,19,0,19,0,19
56,Garfield Ridge,17,45,4,41,0,42,0,42,0,42,13,45,0,42
57,Archer Heights,52,62,52,62,0,27,0,27,0,27,0,27,0,27
58,Brighton Park,79,75,34,49,29,56,5,43,11,43,0,43,0,43
59,McKinley Park,75,58,38,39,8,27,0,25,29,34,0,25,0,25
60,Bridgeport,104,104,33,50,0,37,71,98,0,37,0,37,0,37
61,New City,163,138,95,83,22,56,9,48,21,55,0,47,16,51
62,West Elsdon,18,29,10,30,0,27,0,27,8,27,0,27,0,27
63,Gage Park,64,78,36,64,0,41,28,60,0,41,0,41,0,41
64,Clearing,11,30,11,30,0,31,0,31,0,31,0,31,0,31
65,West Lawn,54,47,43,47,0,34,11,35,0,34,0,34,0,34
66,Chicago Lawn,48,63,48,63,0,49,0,49,0,49,0,49,0,49
67,West Englewood,0,48,0,48,0,48,0,48,0,48,0,48,0,48
68,Englewood,0,36,0,36,0,36,0,36,0,36,0,36,0,36
69,Greater Grand Crossing,148,89,49,75,0,38,92,62,0,38,0,38,7,38
70,Ashburn,45,61,45,61,0,41,0,41,0,41,0,41,0,41
71,Auburn Gresham,0,46,0,46,0,46,0,46,0,46,0,46,0,46
72,Beverly,17,29,12,29,0,29,5,29,0,29,0,29,0,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,18,37,18,37,0,25,0,25,0,25,0,25,0,25
75,Morgan Park,42,40,42,40,0,31,0,31,0,31,0,31,0,31
76,O'Hare,46,64,46,64,0,38,0,38,0,38,0,38,0,38
77,Edgewater,79,77,66,75,0,48,13,51,0,48,0,48,0,48
