area_id,area_name,b18101g001,b18101g001_moe,b18101g002,b18101g002_moe,b18101g003,b18101g003_moe,b18101g004,b18101g004_moe,b18101g005,b18101g005_moe,b18101g006,b18101g006_moe,b18101g007,b18101g007_moe,b18101g008,b18101g008_moe,b18101g009,b18101g009_moe,b18101g010,b18101g010_moe
1,Rogers Park,2035,410,883,251,30,66,853,245,1107,260,87,74,1020,253,45,61,13,49,32,59
2,West Ridge,2042,578,1218,436,13,53,1205,433,677,238,8,52,669,237,147,91,18,52,129,90
3,Uptown,1692,490,535,279,53,96,482,235,1064,303,135,94,929,289,93,74,12,49,81,73
4,Lincoln Square,1046,279,356,141,7,40,349,140,601,208,94,84,507,182,89,79,25,52,64,72
5,North Center,876,311,415,273,11,46,404,273,399,118,0,43,399,118,62,54,29,48,33,44
6,Lake View,1827,371,681,243,9,67,672,242,1129,248,67,74,1062,241,17,71,0,66,17,71
7,Lincoln Park,1070,270,373,151,0,51,373,151,658,191,19,51,639,189,39,70,31,70,8,51
8,Near North Side,1379,374,364,199,0,54,364,199,936,289,49,63,887,284,79,83,9,55,70,83
9,Edison Park,196,137,78,90,23,40,55,84,94,87,0,25,94,87,24,34,0,25,24,34
10,Norwood Park,880,391,535,305,0,39,535,305,335,158,0,39,335,158,10,40,10,40,0,39
11,Jefferson Park,652,248,299,156,0,29,299,156,347,137,72,62,275,124,6,29,0,29,6,29
12,Forest Glen,447,208,303,178,25,49,278,174,144,73,0,29,144,73,0,29,0,29,0,29
13,North Park,469,211,80,74,0,27,80,74,377,191,47,69,330,184,12,26,7,27,5,26
14,Albany Park,1965,456,916,319,0,45,916,319,969,267,47,52,922,258,80,63,17,48,63,56
15,Portage Park,2379,531,1281,368,57,81,1224,348,1076,307,53,59,1023,301,22,47,12,47,10,48
16,Irving Park,1301,306,594,218,33,69,561,203,668,191,15,48,653,189,39,55,10,48,29,54
17,Dunning,519,212,165,92,0,40,165,92,346,171,18,39,328,169,8,39,0,40,8,39
18,Montclare,134,76,63,51,8,21,55,50,71,57,0,23,71,57,0,23,0,23,0,23
19,Belmont Cragin,1766,567,750,289,57,75,693,282,933,349,25,59,908,348,83,73,50,66,33,61
20,Hermosa,484,177,119,64,0,29,119,64,337,143,25,38,312,134,28,33,0,29,28,33
21,Avondale,1098,339,499,239,0,38,499,239,574,223,44,55,530,213,25,43,0,38,25,43
22,Logan Square,1651,352,794,273,46,77,748,268,844,207,64,78,780,198,13,57,10,58,3,57
23,Humboldt Park,1070,349,427,212,8,52,419,210,570,208,38,70,532,201,73,73,14,54,59,71
24,West Town,1784,364,616,224,34,74,582,200,1052,225,107,93,945,208,116,91,41,68,75,83
25,Austin,662,238,301,163,11,62,290,160,279,141,25,64,254,139,82,71,82,71,0,61
26,West Garfield Park,67,67,10,36,0,35,10,36,44,49,33,48,11,37,13,39,0,35,13,39
27,East Garfield Park,120,68,50,52,0,38,50,52,50,43,6,38,44,44,20,42,10,39,10,40
28,Near West Side,1346,258,415,133,0,52,415,133,926,222,75,67,851,210,5,51,0,52,5,51
29,North Lawndale,279,147,132,90,24,55,108,81,133,89,23,54,110,83,14,47,14,47,0,43
30,South Lawndale,424,193,120,91,9,49,111,85,225,109,8,48,217,105,79,69,46,60,33,58
31,Lower West Side,976,313,323,157,56,65,267,124,639,226,38,47,601,222,14,44,14,44,0,42
32,Loop,644,256,238,160,11,33,227,159,406,155,0,30,406,155,0,30,0,30,0,30
33,Near South Side,694,353,375,260,8,25,367,254,183,125,0,24,183,125,136,171,21,30,115,170
34,Armour Square,438,329,154,145,0,27,154,145,245,197,0,27,245,197,39,41,17,27,22,34
35,Douglas,190,87,39,46,0,35,39,46,119,65,10,34,109,64,32,48,10,37,22,47
36,Oakland,25,37,22,38,0,19,22,38,3,16,0,19,3,16,0,19,0,19,0,19
37,Fuller Park,22,35,22,35,0,16,22,35,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,311,126,90,74,0,43,90,74,171,84,29,45,142,76,50,56,20,44,30,54
39,Kenwood,349,161,156,106,0,31,156,106,112,65,4,30,108,65,81,74,27,40,54,69
40,Washington Park,128,101,68,76,6,27,62,66,60,52,9,28,51,51,0,27,0,27,0,27
41,Hyde Park,836,211,273,117,0,38,273,117,520,161,38,44,482,148,43,47,0,38,43,47
42,Woodlawn,369,134,131,95,0,36,131,95,220,94,44,55,176,79,18,41,18,41,0,36
43,South Shore,1068,422,397,221,9,46,388,218,560,250,44,62,516,226,111,78,36,57,75,68
44,Chatham,453,272,155,186,0,37,155,186,286,149,13,42,273,146,12,40,0,37,12,40
45,Avalon Park,84,57,15,29,0,19,15,29,44,39,9,23,35,37,25,28,25,28,0,19
46,South Chicago,326,179,58,57,0,37,58,57,238,156,45,68,193,146,30,44,6,36,24,44
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,71,67,16,33,0,27,16,33,55,52,0,27,55,52,0,27,0,27,0,27
49,Roseland,582,287,247,190,30,61,217,157,264,142,47,55,217,137,71,66,65,65,6,41
50,Pullman,35,36,21,29,0,19,21,29,0,19,0,19,0,19,14,29,0,19,14,29
51,South Deering,305,256,167,198,0,25,167,198,94,70,63,64,31,36,44,49,10,25,34,42
52,East Side,578,245,259,184,2,28,257,184,311,133,51,49,260,125,8,28,8,28,0,29
53,West Pullman,230,185,108,150,15,45,93,124,99,107,9,38,90,108,23,43,8,38,15,44
54,Riverdale,3,13,3,13,0,16,3,13,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,345,274,243,257,8,20,235,257,102,78,7,21,95,73,0,19,0,19,0,19
56,Garfield Ridge,964,350,424,206,0,42,424,206,500,181,0,42,500,181,40,50,40,50,0,42
57,Archer Heights,99,74,44,61,12,29,32,45,52,43,7,24,45,42,3,25,3,25,0,27
58,Brighton Park,373,223,162,101,0,43,162,101,193,146,30,66,163,140,18,50,0,43,18,50
59,McKinley Park,367,248,173,106,0,25,173,106,194,161,53,68,141,148,0,25,0,25,0,25
60,Bridgeport,853,272,514,205,14,41,500,201,302,130,18,45,284,127,37,51,8,37,29,50
61,New City,803,397,506,265,30,54,476,248,276,158,59,65,217,124,21,52,0,47,21,52
62,West Elsdon,184,108,116,84,0,27,116,84,59,60,11,30,48,52,9,26,0,27,9,26
63,Gage Park,439,235,259,163,0,41,259,163,180,114,6,39,174,113,0,41,0,41,0,41
64,Clearing,535,303,288,210,15,36,273,207,240,142,12,35,228,141,7,31,0,31,7,31
65,West Lawn,1301,657,762,505,0,34,762,505,523,210,59,53,464,206,16,41,16,41,0,34
66,Chicago Lawn,616,273,339,165,3,48,336,163,277,145,22,51,255,141,0,49,0,49,0,49
67,West Englewood,509,229,241,139,9,49,232,139,239,132,43,56,196,119,29,51,11,50,18,50
68,Englewood,162,104,70,92,5,36,65,93,75,55,33,50,42,42,17,39,17,39,0,36
69,Greater Grand Crossing,227,142,83,78,0,38,83,78,121,95,45,55,76,81,23,45,0,38,23,45
70,Ashburn,607,255,373,206,0,41,373,206,205,124,39,53,166,108,29,43,13,45,16,38
71,Auburn Gresham,301,171,90,95,6,46,84,89,172,107,21,53,151,103,39,56,24,51,15,50
72,Beverly,366,186,192,163,7,29,185,162,156,78,11,29,145,76,18,32,0,29,18,32
73,Washington Heights,184,119,59,71,0,33,59,71,103,90,19,38,84,86,22,35,3,32,19,36
74,Mount Greenwood,179,106,92,83,0,25,92,83,87,46,1,23,86,45,0,25,0,25,0,25
75,Morgan Park,359,169,147,114,0,31,147,114,159,75,13,34,146,72,53,48,26,37,27,37
76,O'Hare,454,273,188,136,60,94,128,104,255,163,0,38,255,163,11,40,11,40,0,38
77,Edgewater,1923,524,343,162,9,49,334,160,1389,434,101,88,1288,415,191,126,97,102,94,88
