area_id,area_name,b08105d001,b08105d001_moe,b08105d002,b08105d002_moe,b08105d003,b08105d003_moe,b08105d004,b08105d004_moe,b08105d005,b08105d005_moe,b08105d006,b08105d006_moe,b08105d007,b08105d007_moe
1,Rogers Park,1803,460,756,231,190,137,675,256,20,49,99,92,63,75
2,West Ridge,7425,1033,3760,604,1042,361,1359,368,746,305,267,143,251,153
3,Uptown,3739,593,1296,329,562,321,1470,324,331,134,59,81,21,50
4,Lincoln Square,2310,412,1260,280,141,83,580,190,146,110,87,73,96,75
5,North Center,953,253,386,178,101,67,290,101,53,63,42,75,81,69
6,Lake View,4291,533,1478,291,173,98,1931,369,293,139,143,100,273,130
7,Lincoln Park,2449,370,710,188,149,98,1109,234,293,145,23,58,165,109
8,Near North Side,5795,664,1610,363,55,65,1613,333,1608,341,559,265,350,168
9,Edison Park,120,96,46,50,0,25,13,29,17,37,0,25,44,71
10,Norwood Park,940,318,540,200,186,123,161,127,0,39,18,45,35,60
11,Jefferson Park,1267,351,860,267,284,188,115,82,8,30,0,29,0,29
12,Forest Glen,1171,214,708,192,237,111,164,90,11,34,10,33,41,41
13,North Park,1956,318,1290,269,249,125,253,115,71,56,30,41,63,72
14,Albany Park,3315,645,1777,472,425,164,881,255,128,77,43,56,61,62
15,Portage Park,1653,426,1067,372,121,92,383,159,44,58,0,47,38,63
16,Irving Park,2171,431,1192,302,272,113,422,157,166,131,47,60,72,77
17,Dunning,1049,302,807,249,133,87,99,66,0,40,0,40,10,40
18,Montclare,211,130,128,102,50,60,0,23,14,27,0,23,19,34
19,Belmont Cragin,650,259,450,217,104,87,30,60,44,69,0,52,22,60
20,Hermosa,94,71,57,54,0,29,37,55,0,29,0,29,0,29
21,Avondale,787,284,429,191,163,127,151,87,44,66,0,38,0,38
22,Logan Square,1528,297,719,187,210,147,441,126,96,90,15,61,47,63
23,Humboldt Park,100,92,8,51,59,90,18,52,0,51,15,53,0,51
24,West Town,2485,369,1029,228,133,91,787,204,211,145,170,121,155,99
25,Austin,147,93,82,82,12,63,53,68,0,61,0,61,0,61
26,West Garfield Park,17,43,0,35,0,35,17,43,0,35,0,35,0,35
27,East Garfield Park,61,51,56,50,5,37,0,38,0,38,0,38,0,38
28,Near West Side,5038,557,1795,343,228,129,1284,290,1345,308,183,88,203,129
29,North Lawndale,7,43,7,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,32,55,18,54,0,48,12,50,0,48,0,48,2,47
31,Lower West Side,257,122,102,72,63,57,85,94,4,44,3,42,0,42
32,Loop,2830,491,807,245,22,44,703,271,1069,359,132,96,97,77
33,Near South Side,2250,474,1030,297,347,230,508,195,131,94,173,135,61,55
34,Armour Square,3962,537,1130,375,1062,293,999,305,464,176,68,51,239,137
35,Douglas,695,195,303,114,53,66,172,95,162,84,0,35,5,34
36,Oakland,38,40,20,31,0,19,3,16,0,19,0,19,15,29
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,44,54,22,50,8,43,14,47,0,43,0,43,0,43
39,Kenwood,471,222,65,52,50,81,275,170,25,35,0,31,56,75
40,Washington Park,9,28,9,28,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,1276,227,100,57,9,39,406,138,573,154,109,67,79,53
42,Woodlawn,227,74,34,45,11,36,71,48,86,49,24,45,1,35
43,South Shore,16,44,11,45,5,43,0,44,0,44,0,44,0,44
44,Chatham,12,36,11,38,0,37,0,37,0,37,0,37,1,35
45,Avalon Park,21,37,21,37,0,19,0,19,0,19,0,19,0,19
46,South Chicago,26,52,0,37,26,52,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,14,31,0,27,0,27,0,27,0,27,0,27
49,Roseland,72,71,42,53,0,41,16,48,14,42,0,41,0,41
50,Pullman,12,18,12,18,0,19,0,19,0,19,0,19,0,19
51,South Deering,10,27,10,27,0,25,0,25,0,25,0,25,0,25
52,East Side,47,59,46,60,0,29,0,29,1,27,0,29,0,29
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,0,19,0,19,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,264,148,139,101,71,73,45,53,0,42,0,42,9,43
57,Archer Heights,101,90,22,41,0,27,79,85,0,27,0,27,0,27
58,Brighton Park,1332,257,662,177,454,138,173,107,43,52,0,43,0,43
59,McKinley Park,1242,220,552,135,360,120,261,128,0,25,40,43,29,37
60,Bridgeport,5485,593,2238,311,1306,265,1220,271,348,165,231,125,142,87
61,New City,275,81,202,65,25,48,48,60,0,47,0,47,0,47
