Age of Householder by Household Income (Two or More Races Householder)
----------------------------------------------------------------------
Universe: Households With a Householder Who Is Two or More Races

B19037G001 Total:
B19037G002  Householder under 25 years:
B19037G003   Less than $10,000
B19037G004   $10,000 to $14,999
B19037G005   $15,000 to $19,999
B19037G006   $20,000 to $24,999
B19037G007   $25,000 to $29,999
B19037G008   $30,000 to $34,999
B19037G009   $35,000 to $39,999
B19037G010   $40,000 to $44,999
B19037G011   $45,000 to $49,999
B19037G012   $50,000 to $59,999
B19037G013   $60,000 to $74,999
B19037G014   $75,000 to $99,999
B19037G015   $100,000 to $124,999
B19037G016   $125,000 to $149,999
B19037G017   $150,000 to $199,999
B19037G018   $200,000 or more
B19037G019  Householder 25 to 44 years:
B19037G020   Less than $10,000
B19037G021   $10,000 to $14,999
B19037G022   $15,000 to $19,999
B19037G023   $20,000 to $24,999
B19037G024   $25,000 to $29,999
B19037G025   $30,000 to $34,999
B19037G026   $35,000 to $39,999
B19037G027   $40,000 to $44,999
B19037G028   $45,000 to $49,999
B19037G029   $50,000 to $59,999
B19037G030   $60,000 to $74,999
B19037G031   $75,000 to $99,999
B19037G032   $100,000 to $124,999
B19037G033   $125,000 to $149,999
B19037G034   $150,000 to $199,999
B19037G035   $200,000 or more
B19037G036  Householder 45 to 64 years:
B19037G037   Less than $10,000
B19037G038   $10,000 to $14,999
B19037G039   $15,000 to $19,999
B19037G040   $20,000 to $24,999
B19037G041   $25,000 to $29,999
B19037G042   $30,000 to $34,999
B19037G043   $35,000 to $39,999
B19037G044   $40,000 to $44,999
B19037G045   $45,000 to $49,999
B19037G046   $50,000 to $59,999
B19037G047   $60,000 to $74,999
B19037G048   $75,000 to $99,999
B19037G049   $100,000 to $124,999
B19037G050   $125,000 to $149,999
B19037G051   $150,000 to $199,999
B19037G052   $200,000 or more
B19037G053  Householder 65 years and over:
B19037G054   Less than $10,000
B19037G055   $10,000 to $14,999
B19037G056   $15,000 to $19,999
B19037G057   $20,000 to $24,999
B19037G058   $25,000 to $29,999
B19037G059   $30,000 to $34,999
B19037G060   $35,000 to $39,999
B19037G061   $40,000 to $44,999
B19037G062   $45,000 to $49,999
B19037G063   $50,000 to $59,999
B19037G064   $60,000 to $74,999
B19037G065   $75,000 to $99,999
B19037G066   $100,000 to $124,999
B19037G067   $125,000 to $149,999
B19037G068   $150,000 to $199,999
B19037G069   $200,000 or more
