area_id,area_name,b11001g001,b11001g001_moe,b11001g002,b11001g002_moe,b11001g003,b11001g003_moe,b11001g004,b11001g004_moe,b11001g005,b11001g005_moe,b11001g006,b11001g006_moe,b11001g007,b11001g007_moe,b11001g008,b11001g008_moe,b11001g009,b11001g009_moe
1,Rogers Park,572,167,194,103,134,91,60,67,16,53,44,63,378,134,281,111,97,83
2,West Ridge,464,170,275,131,132,85,143,110,40,82,103,90,189,116,173,114,16,55
3,Uptown,750,245,277,156,64,71,213,145,37,76,176,132,473,195,365,177,108,86
4,Lincoln Square,312,128,132,84,87,73,45,48,13,44,32,44,180,103,147,96,33,48
5,North Center,233,94,58,52,48,50,10,44,0,43,10,44,175,88,150,81,25,52
6,Lake View,752,192,180,99,170,99,10,67,10,67,0,66,572,176,445,166,127,82
7,Lincoln Park,461,167,108,76,105,76,3,51,0,51,3,51,353,154,263,146,90,67
8,Near North Side,646,248,108,83,93,83,15,55,0,54,15,55,538,239,497,235,41,64
9,Edison Park,67,55,30,38,30,38,0,25,0,25,0,25,37,43,37,43,0,25
10,Norwood Park,153,110,108,85,87,84,21,43,0,39,21,43,45,80,0,39,45,80
11,Jefferson Park,173,83,155,79,155,79,0,29,0,29,0,29,18,33,18,33,0,29
12,Forest Glen,58,55,38,50,16,37,22,45,0,29,22,45,20,37,20,37,0,29
13,North Park,186,114,116,93,22,35,94,90,78,88,16,28,70,64,60,69,10,27
14,Albany Park,368,109,270,91,171,78,99,65,53,58,46,53,98,66,50,55,48,55
15,Portage Park,244,93,206,90,123,79,83,66,24,52,59,62,38,47,28,47,10,47
16,Irving Park,266,100,170,78,85,60,85,64,7,47,78,64,96,73,78,72,18,48
17,Dunning,110,66,96,63,85,61,11,42,0,40,11,42,14,45,14,45,0,40
18,Montclare,5,18,5,18,5,18,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,316,108,271,101,216,94,55,71,22,58,33,66,45,61,33,60,12,53
20,Hermosa,133,66,63,41,41,36,22,33,9,31,13,30,70,55,70,55,0,29
21,Avondale,295,109,169,78,123,62,46,60,0,38,46,60,126,75,112,72,14,43
22,Logan Square,469,135,213,93,141,85,72,66,20,59,52,65,256,112,161,99,95,76
23,Humboldt Park,320,127,190,102,115,81,75,80,27,65,48,69,130,86,125,86,5,51
24,West Town,541,138,156,82,107,77,49,68,25,68,24,62,385,121,270,105,115,83
25,Austin,111,73,74,66,53,63,21,64,0,61,21,64,37,68,25,66,12,63
26,West Garfield Park,18,38,18,38,13,39,5,34,0,35,5,34,0,35,0,35,0,35
27,East Garfield Park,40,42,14,38,8,38,6,38,6,38,0,38,26,41,26,41,0,38
28,Near West Side,439,125,188,88,129,82,59,61,5,52,54,61,251,97,205,93,46,51
29,North Lawndale,73,65,54,61,0,43,54,61,11,45,43,57,19,46,19,46,0,43
30,South Lawndale,174,83,119,68,86,63,33,55,6,48,27,55,55,65,51,66,4,47
31,Lower West Side,336,128,142,82,78,62,64,61,16,42,48,60,194,104,98,66,96,88
32,Loop,200,93,25,40,25,40,0,30,0,30,0,30,175,89,157,86,18,32
33,Near South Side,242,200,28,33,13,26,15,25,0,24,15,25,214,198,214,198,0,24
34,Armour Square,140,104,65,84,65,84,0,27,0,27,0,27,75,64,75,64,0,27
35,Douglas,108,64,29,36,18,37,11,34,0,35,11,34,79,61,79,61,0,35
36,Oakland,3,16,0,19,0,19,0,19,0,19,0,19,3,16,3,16,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,171,80,76,57,33,47,43,53,11,45,32,51,95,66,68,65,27,45
39,Kenwood,145,81,78,56,55,51,23,36,10,33,13,34,67,67,67,67,0,31
40,Washington Park,35,34,25,33,0,27,25,33,0,27,25,33,10,29,10,29,0,27
41,Hyde Park,300,102,73,55,61,53,12,41,12,41,0,38,227,89,195,84,32,45
42,Woodlawn,209,91,33,41,14,36,19,41,13,40,6,36,176,87,169,86,7,36
43,South Shore,315,139,155,100,47,64,108,88,0,44,108,88,160,103,156,103,4,43
44,Chatham,191,108,96,79,9,38,87,78,0,37,87,78,95,78,95,78,0,37
45,Avalon Park,40,35,9,23,0,19,9,23,0,19,9,23,31,33,18,31,13,22
46,South Chicago,130,107,13,37,7,37,6,36,0,37,6,36,117,107,117,107,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,163,90,110,83,21,48,89,80,0,41,89,80,53,50,53,50,0,41
50,Pullman,8,20,8,20,8,20,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,62,52,56,51,10,27,46,48,0,25,46,48,6,22,6,22,0,25
52,East Side,152,77,148,77,92,70,56,39,0,29,56,39,4,28,4,28,0,29
53,West Pullman,116,106,103,106,94,106,9,38,0,39,9,38,13,40,13,40,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,56,47,37,35,7,21,30,33,18,30,12,24,19,34,19,34,0,19
56,Garfield Ridge,235,100,178,84,123,76,55,56,9,43,46,58,57,71,57,71,0,42
57,Archer Heights,34,29,11,23,7,24,4,26,0,27,4,26,23,31,20,31,3,25
58,Brighton Park,56,54,56,54,38,51,18,46,0,43,18,46,0,43,0,43,0,43
59,McKinley Park,29,30,14,26,14,26,0,25,0,25,0,25,15,26,15,26,0,25
60,Bridgeport,166,70,108,61,17,35,91,59,21,40,70,57,58,64,18,37,40,62
61,New City,134,79,87,70,80,70,7,47,0,47,7,47,47,57,47,57,0,47
62,West Elsdon,20,29,11,30,0,27,11,30,0,27,11,30,9,26,9,26,0,27
63,Gage Park,73,55,73,55,65,54,8,39,0,41,8,39,0,41,0,41,0,41
64,Clearing,96,68,89,68,70,67,19,32,7,32,12,32,7,32,7,32,0,31
65,West Lawn,301,142,230,130,170,132,60,55,0,34,60,55,71,57,61,54,10,36
66,Chicago Lawn,135,84,116,84,103,82,13,49,0,49,13,49,19,50,19,50,0,49
67,West Englewood,102,67,68,57,34,51,34,54,7,48,27,53,34,59,34,59,0,48
68,Englewood,81,56,30,37,19,39,11,35,5,35,6,36,51,53,51,53,0,36
69,Greater Grand Crossing,79,61,46,54,0,38,46,54,18,45,28,48,33,48,33,48,0,38
70,Ashburn,62,52,51,48,22,43,29,46,9,40,20,44,11,41,11,41,0,41
71,Auburn Gresham,72,66,56,65,19,52,37,59,0,46,37,59,16,47,16,47,0,46
72,Beverly,83,48,49,43,38,39,11,32,0,29,11,32,34,35,28,33,6,29
73,Washington Heights,22,38,17,37,3,32,14,38,0,33,14,38,5,32,5,32,0,33
74,Mount Greenwood,13,28,13,28,13,28,0,25,0,25,0,25,0,25,0,25,0,25
75,Morgan Park,125,57,25,34,18,34,7,32,0,31,7,32,100,54,88,51,12,35
76,O'Hare,150,127,133,123,62,86,71,95,0,38,71,95,17,46,17,46,0,38
77,Edgewater,810,238,246,118,83,68,163,107,30,67,133,96,564,209,416,178,148,120
