area_id,area_name,b19001d001,b19001d001_moe,b19001d002,b19001d002_moe,b19001d003,b19001d003_moe,b19001d004,b19001d004_moe,b19001d005,b19001d005_moe,b19001d006,b19001d006_moe,b19001d007,b19001d007_moe,b19001d008,b19001d008_moe,b19001d009,b19001d009_moe,b19001d010,b19001d010_moe,b19001d011,b19001d011_moe,b19001d012,b19001d012_moe,b19001d013,b19001d013_moe,b19001d014,b19001d014_moe,b19001d015,b19001d015_moe,b19001d016,b19001d016_moe,b19001d017,b19001d017_moe
1,Rogers Park,1289,265,210,131,108,89,93,89,80,71,43,65,17,51,42,60,76,77,58,86,20,48,52,76,115,85,115,80,122,92,71,81,67,63
2,West Ridge,4435,437,308,133,105,80,257,142,399,182,198,111,370,172,142,108,223,107,349,172,429,170,479,168,457,155,271,136,211,105,112,76,125,83
3,Uptown,3327,387,614,207,392,161,243,91,111,83,152,103,110,92,97,93,180,116,68,62,191,108,263,159,423,147,165,90,110,88,82,65,126,81
4,Lincoln Square,1607,275,132,87,45,70,101,83,53,53,84,81,132,98,51,51,75,61,115,86,116,58,156,104,206,98,131,78,74,58,100,89,36,44
5,North Center,650,164,13,46,0,43,21,44,53,74,85,89,0,43,0,43,4,42,41,54,17,50,100,66,64,54,95,69,39,53,88,55,30,49
6,Lake View,3933,453,619,205,84,94,10,68,121,96,179,112,81,78,58,95,145,93,193,115,293,145,354,149,385,155,280,111,305,175,396,157,430,141
7,Lincoln Park,1917,302,254,127,153,112,50,63,34,57,0,51,15,51,40,63,65,71,36,58,172,94,159,96,283,137,202,96,153,101,169,87,132,69
8,Near North Side,5671,590,633,246,144,134,63,67,61,93,159,116,106,78,57,76,106,101,54,63,574,217,718,235,812,268,771,270,277,148,523,184,613,193
9,Edison Park,74,53,0,25,0,25,0,25,15,31,0,25,0,25,0,25,6,25,13,29,0,25,0,25,32,40,0,25,0,25,8,26,0,25
10,Norwood Park,522,152,0,39,0,39,13,41,26,43,0,39,49,83,7,39,0,39,22,43,62,86,28,54,114,76,79,51,23,42,30,42,69,76
11,Jefferson Park,625,165,16,30,0,29,9,31,16,31,0,29,23,34,37,55,21,36,13,34,0,29,92,67,124,86,71,53,44,47,134,88,25,37
12,Forest Glen,653,116,0,29,9,31,0,29,0,29,19,30,0,29,58,86,2,28,36,36,10,33,137,88,42,51,52,44,79,62,112,71,97,83
13,North Park,1433,190,171,100,32,37,95,70,116,93,18,35,37,36,81,73,81,52,27,28,96,62,93,58,371,107,90,57,31,35,51,39,43,41
14,Albany Park,2020,270,214,86,267,140,73,73,143,88,58,54,62,55,43,49,74,67,150,92,66,68,175,87,229,95,217,100,89,73,85,78,75,67
15,Portage Park,758,173,0,47,14,52,34,52,44,57,18,49,20,48,15,50,14,52,0,47,46,55,85,74,235,108,84,78,20,49,60,56,69,71
16,Irving Park,1395,250,87,78,49,72,86,79,26,57,141,85,68,63,37,59,115,75,54,59,30,50,221,111,153,88,125,76,62,70,33,52,108,93
17,Dunning,416,110,8,41,11,42,11,43,0,40,0,40,21,44,0,40,7,39,8,41,0,40,39,51,89,61,13,38,62,60,67,49,80,63
18,Montclare,137,81,45,56,0,23,0,23,14,23,0,23,0,23,0,23,0,23,0,23,25,32,0,23,15,30,16,30,0,23,0,23,22,39
19,Belmont Cragin,391,123,0,52,22,53,0,52,7,51,8,51,15,55,0,52,19,53,0,52,62,63,51,66,87,81,74,79,37,57,0,52,9,53
20,Hermosa,76,61,0,29,0,29,9,31,0,29,0,29,13,35,0,29,0,29,0,29,37,55,8,30,0,29,9,31,0,29,0,29,0,29
21,Avondale,455,144,55,55,8,39,0,38,35,65,0,38,33,46,5,36,51,62,0,38,0,38,79,66,100,83,24,44,41,47,24,39,0,38
22,Logan Square,1016,187,62,67,31,58,10,58,22,60,14,58,97,88,20,60,0,57,0,57,46,59,99,78,153,92,147,86,44,62,109,73,162,87
