area_id,area_name,b10051g001,b10051g001_moe,b10051g002,b10051g002_moe,b10051g003,b10051g003_moe,b10051g004,b10051g004_moe,b10051g005,b10051g005_moe,b10051g006,b10051g006_moe,b10051g007,b10051g007_moe
1,Rogers Park,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,West Ridge,9,52,0,51,0,51,0,51,9,52,9,52,0,51
3,Uptown,0,48,0,48,0,48,0,48,0,48,0,48,0,48
4,Lincoln Square,0,40,0,40,0,40,0,40,0,40,0,40,0,40
5,North Center,0,43,0,43,0,43,0,43,0,43,0,43,0,43
6,Lake View,10,67,0,66,0,66,0,66,10,67,10,67,0,66
7,Lincoln Park,0,51,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,0,54,0,54,0,54,0,54,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,0,39,0,39,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,0,29,0,29,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27
14,Albany Park,27,54,7,47,0,45,7,47,20,52,20,52,0,45
15,Portage Park,64,63,50,63,17,48,33,60,14,46,9,47,5,46
16,Irving Park,20,49,7,47,7,47,0,47,13,49,0,47,13,49
17,Dunning,0,40,0,40,0,40,0,40,0,40,0,40,0,40
18,Montclare,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,90,97,25,61,25,61,0,52,65,76,51,66,14,55
20,Hermosa,21,35,0,29,0,29,0,29,21,35,0,29,21,35
21,Avondale,0,38,0,38,0,38,0,38,0,38,0,38,0,38
22,Logan Square,0,57,0,57,0,57,0,57,0,57,0,57,0,57
23,Humboldt Park,29,57,29,57,0,51,29,57,0,51,0,51,0,51
24,West Town,28,77,0,62,0,62,0,62,28,77,0,62,28,77
25,Austin,31,68,20,67,0,61,20,67,11,62,11,62,0,61
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,17,57,17,57,17,57,0,52,0,52,0,52,0,52
29,North Lawndale,14,46,0,43,0,43,0,43,14,46,0,43,14,46
30,South Lawndale,18,55,0,48,0,48,0,48,18,55,0,48,18,55
31,Lower West Side,8,42,8,42,4,41,4,41,0,42,0,42,0,42
32,Loop,0,30,0,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,8,24,8,24,8,24,0,24,0,24,0,24,0,24
34,Armour Square,11,28,11,28,0,27,11,28,0,27,0,27,0,27
35,Douglas,0,35,0,35,0,35,0,35,0,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,0,43,0,43,0,43,0,43,0,43,0,43,0,43
39,Kenwood,0,31,0,31,0,31,0,31,0,31,0,31,0,31
40,Washington Park,9,28,9,28,9,28,0,27,0,27,0,27,0,27
41,Hyde Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38
42,Woodlawn,0,36,0,36,0,36,0,36,0,36,0,36,0,36
43,South Shore,0,44,0,44,0,44,0,44,0,44,0,44,0,44
44,Chatham,7,37,0,37,0,37,0,37,7,37,7,37,0,37
45,Avalon Park,9,23,9,23,0,19,9,23,0,19,0,19,0,19
46,South Chicago,6,36,0,37,0,37,0,37,6,36,0,37,6,36
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,0,41,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,0,25,0,25,0,25,0,25,0,25,0,25,0,25
52,East Side,42,44,22,33,10,32,12,31,20,41,10,31,10,32
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,0,19,0,19,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,37,58,13,44,13,44,0,42,24,46,13,44,11,44
57,Archer Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27
58,Brighton Park,34,67,0,43,0,43,0,43,34,67,34,67,0,43
59,McKinley Park,21,40,0,25,0,25,0,25,21,40,21,40,0,25
60,Bridgeport,5,34,0,37,0,37,0,37,5,34,0,37,5,34
61,New City,20,56,0,47,0,47,0,47,20,56,20,56,0,47
62,West Elsdon,0,27,0,27,0,27,0,27,0,27,0,27,0,27
63,Gage Park,6,39,0,41,0,41,0,41,6,39,6,39,0,41
64,Clearing,0,31,0,31,0,31,0,31,0,31,0,31,0,31
65,West Lawn,26,47,0,34,0,34,0,34,26,47,9,36,17,37
66,Chicago Lawn,3,47,0,49,0,49,0,49,3,47,0,49,3,47
67,West Englewood,9,48,0,48,0,48,0,48,9,48,9,48,0,48
68,Englewood,0,36,0,36,0,36,0,36,0,36,0,36,0,36
69,Greater Grand Crossing,28,48,27,47,11,40,16,45,1,38,1,38,0,38
70,Ashburn,0,41,0,41,0,41,0,41,0,41,0,41,0,41
71,Auburn Gresham,22,55,22,55,22,55,0,46,0,46,0,46,0,46
72,Beverly,0,29,0,29,0,29,0,29,0,29,0,29,0,29
73,Washington Heights,8,34,8,34,0,33,8,34,0,33,0,33,0,33
74,Mount Greenwood,0,25,0,25,0,25,0,25,0,25,0,25,0,25
75,Morgan Park,0,31,0,31,0,31,0,31,0,31,0,31,0,31
76,O'Hare,0,38,0,38,0,38,0,38,0,38,0,38,0,38
77,Edgewater,0,48,0,48,0,48,0,48,0,48,0,48,0,48
