area_id,area_name,b13002c001,b13002c001_moe,b13002c002,b13002c002_moe,b13002c003,b13002c003_moe,b13002c004,b13002c004_moe,b13002c005,b13002c005_moe,b13002c006,b13002c006_moe,b13002c007,b13002c007_moe
1,Rogers Park,49,67,0,48,0,48,0,48,49,67,27,54,22,52
2,West Ridge,73,108,0,51,0,51,0,51,73,108,25,65,48,77
3,Uptown,25,57,0,48,0,48,0,48,25,57,24,59,1,45
4,Lincoln Square,58,69,0,40,0,40,0,40,58,69,0,40,58,69
5,North Center,13,46,0,43,0,43,0,43,13,46,13,46,0,43
6,Lake View,21,65,0,66,0,66,0,66,21,65,16,66,5,66
7,Lincoln Park,32,57,0,51,0,51,0,51,32,57,27,57,5,50
8,Near North Side,148,149,0,54,0,54,0,54,148,149,82,132,66,88
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,22,47,0,39,0,39,0,39,22,47,7,39,15,46
11,Jefferson Park,0,29,0,29,0,29,0,29,0,29,0,29,0,29
12,Forest Glen,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,9,26,0,27,0,27,0,27,9,26,9,26,0,27
14,Albany Park,10,45,0,45,0,45,0,45,10,45,10,45,0,45
15,Portage Park,48,65,0,47,0,47,0,47,48,65,28,64,20,49
16,Irving Park,49,84,0,47,0,47,0,47,49,84,49,84,0,47
17,Dunning,15,44,0,40,0,40,0,40,15,44,0,40,15,44
18,Montclare,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,71,91,0,52,0,52,0,52,71,91,27,57,44,68
20,Hermosa,0,29,0,29,0,29,0,29,0,29,0,29,0,29
21,Avondale,98,110,0,38,0,38,0,38,98,110,31,59,67,101
22,Logan Square,11,57,0,57,0,57,0,57,11,57,0,57,11,57
23,Humboldt Park,0,51,0,51,0,51,0,51,0,51,0,51,0,51
24,West Town,67,75,0,62,0,62,0,62,67,75,9,63,58,75
25,Austin,53,72,0,61,0,61,0,61,53,72,7,60,46,73
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,13,43,0,38,0,38,0,38,13,43,0,38,13,43
28,Near West Side,56,61,0,52,0,52,0,52,56,61,14,54,42,57
29,North Lawndale,18,51,0,43,0,43,0,43,18,51,0,43,18,51
30,South Lawndale,68,62,8,48,0,48,8,48,60,62,37,55,23,49
31,Lower West Side,19,41,0,42,0,42,0,42,19,41,0,42,19,41
32,Loop,17,37,0,30,0,30,0,30,17,37,0,30,17,37
33,Near South Side,0,24,0,24,0,24,0,24,0,24,0,24,0,24
34,Armour Square,5,26,0,27,0,27,0,27,5,26,5,26,0,27
35,Douglas,9,38,0,35,0,35,0,35,9,38,0,35,9,38
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,0,43,0,43,0,43,0,43,0,43,0,43,0,43
39,Kenwood,0,31,0,31,0,31,0,31,0,31,0,31,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,28,44,0,38,0,38,0,38,28,44,10,39,18,37
42,Woodlawn,14,40,0,36,0,36,0,36,14,40,14,40,0,36
43,South Shore,32,64,0,44,0,44,0,44,32,64,32,64,0,44
44,Chatham,0,37,0,37,0,37,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19
