area_id,area_name,b16005d001,b16005d001_moe,b16005d002,b16005d002_moe,b16005d003,b16005d003_moe,b16005d004,b16005d004_moe,b16005d005,b16005d005_moe,b16005d006,b16005d006_moe,b16005d007,b16005d007_moe,b16005d008,b16005d008_moe,b16005d009,b16005d009_moe,b16005d010,b16005d010_moe,b16005d011,b16005d011_moe
1,Rogers Park,3711,948,1177,383,788,337,389,142,370,141,19,49,2534,842,339,252,2195,805,943,382,1252,528
2,West Ridge,15927,1812,3380,670,1165,317,2215,597,1808,561,407,180,12547,1566,642,215,11905,1549,5583,855,6322,1074
3,Uptown,6135,729,1501,328,745,231,756,246,626,220,130,93,4634,611,765,221,3869,595,1586,395,2283,450
4,Lincoln Square,3716,644,1147,291,571,182,576,231,555,228,21,44,2569,515,308,129,2261,494,1260,359,1001,306
5,North Center,1364,335,583,216,392,134,191,155,161,152,30,50,781,226,250,117,531,186,376,153,155,88
6,Lake View,6221,699,2490,417,1417,285,1073,285,1024,283,49,71,3731,537,657,183,3074,506,1979,361,1095,348
7,Lincoln Park,3577,510,1757,354,1066,242,691,256,587,242,104,84,1820,320,477,143,1343,285,1077,251,266,142
8,Near North Side,8363,864,2626,451,1532,324,1094,308,1029,303,65,71,5737,786,999,303,4738,730,3347,619,1391,398
9,Edison Park,242,176,32,41,32,41,0,25,0,25,0,25,210,154,40,62,170,113,141,101,29,54
10,Norwood Park,1612,454,496,253,173,86,323,237,308,236,15,43,1116,283,66,61,1050,282,562,187,488,200
11,Jefferson Park,2421,722,613,199,294,134,319,158,263,148,56,59,1808,640,117,80,1691,633,835,369,856,357
12,Forest Glen,2137,375,805,276,483,242,322,154,297,151,25,37,1332,244,195,108,1137,263,446,175,691,207
13,North Park,4831,699,1071,259,380,172,691,224,608,214,83,60,3760,577,112,62,3648,568,1743,405,1905,319
14,Albany Park,6387,990,1180,300,474,219,706,212,601,198,105,77,5207,847,165,97,5042,841,2105,477,2937,619
15,Portage Park,2749,679,817,259,542,190,275,175,254,173,21,50,1932,576,231,131,1701,564,764,283,937,359
16,Irving Park,3802,717,1041,287,556,185,485,201,408,180,77,73,2761,591,279,129,2482,577,1319,410,1163,354
17,Dunning,1582,419,414,167,284,131,130,79,130,79,0,40,1168,311,202,112,966,275,657,215,309,151
18,Montclare,480,286,114,82,114,82,0,23,0,23,0,23,366,240,47,58,319,225,212,198,107,103
19,Belmont Cragin,1097,388,229,152,90,87,139,136,118,135,21,54,868,314,27,60,841,312,361,133,480,223
20,Hermosa,111,79,56,58,56,58,0,29,0,29,0,29,55,53,30,43,25,40,0,29,25,40
21,Avondale,1197,416,318,153,258,139,60,64,53,62,7,38,879,324,154,138,725,300,329,165,396,217
22,Logan Square,2068,370,1107,291,880,270,227,96,205,93,22,62,961,204,412,118,549,169,409,150,140,90
23,Humboldt Park,147,121,57,77,15,57,42,72,42,72,0,51,90,72,20,51,70,70,40,57,30,54
24,West Town,3129,450,1748,316,1092,227,656,220,595,215,61,77,1381,295,437,145,944,260,664,220,280,136
25,Austin,351,184,41,71,26,65,15,67,15,67,0,61,310,162,23,62,287,161,185,134,102,102
26,West Garfield Park,18,41,0,35,0,35,0,35,0,35,0,35,18,41,0,35,18,41,18,41,0,35
27,East Garfield Park,87,59,50,48,21,39,29,45,29,45,0,38,37,49,0,38,37,49,30,47,7,38
28,Near West Side,7534,742,2325,416,1215,260,1110,302,939,258,171,122,5209,649,764,241,4445,603,2778,437,1667,412
29,North Lawndale,72,86,24,51,0,43,24,51,18,46,6,42,48,71,25,56,23,48,0,43,23,48
30,South Lawndale,115,80,51,64,50,65,1,47,1,47,0,48,64,64,6,45,58,65,24,49,34,64
