area_id,area_name,b12002c001,b12002c001_moe,b12002c002,b12002c002_moe,b12002c003,b12002c003_moe,b12002c004,b12002c004_moe,b12002c005,b12002c005_moe,b12002c006,b12002c006_moe,b12002c007,b12002c007_moe,b12002c008,b12002c008_moe,b12002c009,b12002c009_moe,b12002c010,b12002c010_moe,b12002c011,b12002c011_moe,b12002c012,b12002c012_moe,b12002c013,b12002c013_moe
1,Rogers Park,88,102,28,65,16,52,12,49,0,48,0,48,0,48,60,67,22,52,27,54,3,47,0,48,8,48
2,West Ridge,231,180,103,95,53,80,50,72,0,51,0,51,0,51,128,124,48,77,51,70,0,51,0,51,29,63
3,Uptown,211,119,163,110,91,81,0,48,2,46,0,48,70,87,48,61,13,49,24,59,0,48,0,48,11,48
4,Lincoln Square,216,169,40,53,13,40,27,44,0,40,0,40,0,40,176,152,59,74,57,62,0,40,0,40,60,84
5,North Center,81,70,68,68,0,43,16,44,30,63,0,43,22,48,13,46,0,43,13,46,0,43,0,43,0,43
6,Lake View,221,167,185,163,139,153,46,80,0,66,0,66,0,66,36,68,5,66,16,66,0,66,15,69,0,66
7,Lincoln Park,122,88,59,70,9,50,20,54,30,67,0,51,0,51,63,65,5,50,27,57,0,51,5,50,26,59
8,Near North Side,213,158,22,60,0,54,22,60,0,54,0,54,0,54,191,156,45,71,23,64,82,132,0,54,41,81
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,37,71,15,47,15,47,0,39,0,39,0,39,0,39,22,47,0,39,7,39,0,39,0,39,15,46
11,Jefferson Park,47,52,27,45,0,29,27,45,0,29,0,29,0,29,20,39,0,29,20,39,0,29,0,29,0,29
12,Forest Glen,21,40,21,40,0,29,0,29,0,29,0,29,21,40,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,42,48,30,41,15,33,15,34,0,27,0,27,0,27,12,22,0,27,12,22,0,27,0,27,0,27
14,Albany Park,113,96,71,65,32,48,39,60,0,45,0,45,0,45,42,61,18,51,24,56,0,45,0,45,0,45
15,Portage Park,141,139,81,92,44,71,30,55,7,48,0,47,0,47,60,68,10,47,28,64,0,47,0,47,22,51
16,Irving Park,136,131,75,85,2,45,73,86,0,47,0,47,0,47,61,86,12,50,49,84,0,47,0,47,0,47
17,Dunning,86,97,71,80,49,75,22,47,0,40,0,40,0,40,15,44,0,40,0,40,0,40,15,44,0,40
18,Montclare,1,16,1,16,1,16,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,127,114,48,58,21,52,20,54,0,52,0,52,7,51,79,92,38,66,35,57,0,52,0,52,6,51
20,Hermosa,33,49,11,33,0,29,11,33,0,29,0,29,0,29,22,37,0,29,22,37,0,29,0,29,0,29
21,Avondale,253,240,100,115,30,61,70,83,0,38,0,38,0,38,153,150,83,103,55,70,6,38,9,40,0,38
22,Logan Square,119,112,80,82,0,57,80,82,0,57,0,57,0,57,39,71,0,57,28,71,0,57,0,57,11,57
23,Humboldt Park,168,159,114,111,54,100,44,68,3,49,13,53,0,51,54,74,0,51,25,60,0,51,29,68,0,51
24,West Town,225,107,108,81,85,75,7,63,16,65,0,62,0,62,117,89,84,86,9,63,0,62,0,62,24,63
25,Austin,114,125,55,98,47,97,0,61,8,62,0,61,0,61,59,73,52,74,7,60,0,61,0,61,0,61
26,West Garfield Park,14,45,0,35,0,35,0,35,0,35,0,35,0,35,14,45,14,45,0,35,0,35,0,35,0,35
27,East Garfield Park,13,43,0,38,0,38,0,38,0,38,0,38,0,38,13,43,13,43,0,38,0,38,0,38,0,38
28,Near West Side,140,103,84,86,24,58,45,74,10,55,0,52,5,51,56,61,35,57,4,51,10,55,0,52,7,52
29,North Lawndale,21,52,0,43,0,43,0,43,0,43,0,43,0,43,21,52,18,51,0,43,0,43,0,43,3,42
30,South Lawndale,221,118,114,67,47,52,57,56,0,48,10,49,0,48,107,71,31,49,66,57,0,48,0,48,10,49
31,Lower West Side,87,60,53,49,33,45,11,44,0,42,9,42,0,42,34,41,19,41,15,41,0,42,0,42,0,42
32,Loop,34,37,17,30,10,30,7,30,0,30,0,30,0,30,17,37,17,37,0,30,0,30,0,30,0,30
33,Near South Side,53,62,40,48,40,48,0,24,0,24,0,24,0,24,13,27,0,24,0,24,0,24,13,27,0,24
34,Armour Square,5,26,0,27,0,27,0,27,0,27,0,27,0,27,5,26,0,27,5,26,0,27,0,27,0,27
35,Douglas,22,38,13,35,13,35,0,35,0,35,0,35,0,35,9,38,9,38,0,35,0,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,14,45,1,41,0,43,0,43,1,41,0,43,0,43,13,46,0,43,0,43,0,43,13,46,0,43
39,Kenwood,64,62,13,35,0,31,0,31,13,35,0,31,0,31,51,60,0,31,0,31,24,46,27,46,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,93,75,52,56,48,56,4,37,0,38,0,38,0,38,41,49,31,43,10,39,0,38,0,38,0,38
42,Woodlawn,53,57,32,47,10,37,22,41,0,36,0,36,0,36,21,42,0,36,21,42,0,36,0,36,0,36
43,South Shore,108,86,45,65,7,44,0,44,0,44,24,60,14,51,63,72,0,44,32,64,0,44,31,54,0,44
44,Chatham,28,43,16,42,16,42,0,37,0,37,0,37,0,37,12,38,12,38,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,9,29,4,26,0,27,4,26,0,27,0,27,0,27,5,26,0,27,5,26,0,27,0,27,0,27
49,Roseland,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,17,35,7,25,7,25,0,25,0,25,0,25,0,25,10,27,0,25,0,25,0,25,0,25,10,27
52,East Side,80,67,36,51,0,29,0,29,36,51,0,29,0,29,44,45,15,34,0,29,0,29,0,29,29,42
53,West Pullman,18,41,13,42,0,39,13,42,0,39,0,39,0,39,5,38,0,39,0,39,5,38,0,39,0,39
54,Riverdale,3,13,0,16,0,16,0,16,0,16,0,16,0,16,3,13,3,13,0,16,0,16,0,16,0,16
55,Hegewisch,45,45,10,20,10,20,0,19,0,19,0,19,0,19,35,34,0,19,25,30,0,19,0,19,10,20
56,Garfield Ridge,17,45,17,45,4,41,13,45,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
57,Archer Heights,73,79,31,48,0,27,31,48,0,27,0,27,0,27,42,43,20,31,22,31,0,27,0,27,0,27
58,Brighton Park,92,82,45,49,17,45,13,46,0,43,0,43,15,43,47,59,21,45,13,46,0,43,0,43,13,45
59,McKinley Park,119,88,31,37,9,28,22,35,0,25,0,25,0,25,88,64,46,45,16,34,0,25,21,29,5,28
60,Bridgeport,188,165,95,70,55,60,18,45,22,45,0,37,0,37,93,123,44,73,0,37,0,37,0,37,49,67
61,New City,274,224,146,118,90,79,27,50,29,64,0,47,0,47,128,125,73,88,34,52,0,47,21,55,0,47
62,West Elsdon,18,29,10,30,0,27,10,30,0,27,0,27,0,27,8,27,0,27,8,27,0,27,0,27,0,27
63,Gage Park,99,116,46,65,29,62,17,46,0,41,0,41,0,41,53,71,34,52,19,45,0,41,0,41,0,41
64,Clearing,93,155,47,90,16,41,0,31,0,31,0,31,31,62,46,73,6,31,19,46,0,31,16,41,5,31
65,West Lawn,236,198,151,140,72,97,53,63,0,34,0,34,26,47,85,99,0,34,61,62,0,34,24,50,0,34
66,Chicago Lawn,70,81,35,56,3,49,23,49,0,49,0,49,9,49,35,60,13,51,22,50,0,49,0,49,0,49
67,West Englewood,21,51,0,48,0,48,0,48,0,48,0,48,0,48,21,51,9,49,0,48,0,48,0,48,12,50
68,Englewood,79,80,26,44,6,36,20,44,0,36,0,36,0,36,53,58,24,45,29,52,0,36,0,36,0,36
69,Greater Grand Crossing,211,107,127,75,127,75,0,38,0,38,0,38,0,38,84,75,28,39,49,75,0,38,0,38,7,38
