area_id,area_name,c15002g001,c15002g001_moe,c15002g002,c15002g002_moe,c15002g003,c15002g003_moe,c15002g004,c15002g004_moe,c15002g005,c15002g005_moe,c15002g006,c15002g006_moe,c15002g007,c15002g007_moe,c15002g008,c15002g008_moe,c15002g009,c15002g009_moe,c15002g010,c15002g010_moe,c15002g011,c15002g011_moe
1,Rogers Park,877,224,458,144,13,50,59,63,110,72,276,117,419,164,41,59,23,51,153,109,202,94
2,West Ridge,703,249,343,139,27,52,129,105,86,76,101,84,360,174,98,102,96,96,72,71,94,95
3,Uptown,1045,297,386,178,13,49,26,53,94,82,253,158,659,220,73,81,55,64,187,136,344,154
4,Lincoln Square,652,221,247,123,41,54,75,81,72,69,59,55,405,152,13,43,105,80,54,69,233,115
5,North Center,412,121,237,94,13,46,21,46,61,54,142,80,175,81,0,43,0,43,32,55,143,71
6,Lake View,877,219,457,167,0,66,43,81,108,109,306,128,420,136,6,66,34,70,51,74,329,127
7,Lincoln Park,539,179,384,164,10,50,0,51,67,74,307,154,155,81,5,51,0,51,9,49,141,79
8,Near North Side,857,273,356,179,35,61,0,54,120,145,201,114,501,202,34,64,13,57,76,65,378,191
9,Edison Park,118,90,90,82,0,25,12,30,30,38,48,55,28,37,0,25,0,25,0,25,28,37
10,Norwood Park,274,147,152,119,0,39,46,80,69,84,37,54,122,101,11,41,49,78,0,39,62,75
11,Jefferson Park,318,125,150,89,13,30,84,79,42,46,11,29,168,82,7,30,0,29,67,55,94,64
12,Forest Glen,144,73,33,41,0,29,0,29,18,38,15,34,111,69,0,29,16,37,40,52,55,45
13,North Park,214,117,93,73,0,27,19,41,23,33,51,65,121,84,0,27,16,28,86,81,19,26
14,Albany Park,802,224,396,131,79,67,118,72,92,89,107,60,406,140,160,89,36,58,39,65,171,95
15,Portage Park,827,219,389,140,86,102,130,86,88,66,85,61,438,140,52,57,70,69,141,85,175,95
16,Irving Park,642,190,338,138,8,48,20,49,245,125,65,61,304,113,9,46,61,62,40,53,194,93
17,Dunning,261,124,149,93,24,52,13,42,39,45,73,82,112,63,8,39,31,52,47,47,26,42
18,Montclare,71,57,12,19,0,23,5,18,7,23,0,23,59,53,0,23,28,49,0,23,31,31
19,Belmont Cragin,874,305,431,176,87,64,116,86,184,123,44,62,443,169,137,91,51,62,114,92,141,105
20,Hermosa,233,107,126,73,32,36,25,39,21,32,48,44,107,74,51,57,13,30,23,34,20,34
21,Avondale,419,154,210,98,72,57,39,53,69,59,30,41,209,90,69,56,31,42,40,52,69,56
22,Logan Square,729,181,319,114,46,67,56,73,35,64,182,87,410,130,39,67,81,71,68,70,222,100
23,Humboldt Park,520,190,273,129,77,81,84,74,33,65,79,76,247,114,26,53,35,55,74,70,112,83
24,West Town,990,238,522,167,51,75,34,68,153,94,284,136,468,148,58,68,75,84,113,84,222,110
25,Austin,312,117,103,73,16,65,30,65,57,65,0,61,209,103,37,67,36,67,84,66,52,69
26,West Garfield Park,46,62,28,48,28,48,0,35,0,35,0,35,18,38,13,39,0,35,5,34,0,35
27,East Garfield Park,40,42,16,41,0,38,0,38,16,41,0,38,24,40,6,38,10,40,0,38,8,38
28,Near West Side,652,154,323,117,42,69,5,52,59,61,217,102,329,107,8,52,8,53,106,71,207,89
29,North Lawndale,115,78,15,44,0,43,0,43,11,45,4,42,100,69,36,57,26,52,27,49,11,42
30,South Lawndale,271,128,153,88,50,66,36,57,37,55,30,61,118,78,97,67,0,48,21,52,0,48
31,Lower West Side,424,151,193,93,68,67,6,41,84,67,35,43,231,119,71,60,0,42,21,47,139,100
32,Loop,351,150,200,118,0,30,14,38,31,44,155,109,151,88,15,36,0,30,19,34,117,81
33,Near South Side,319,220,130,171,0,24,117,170,0,24,13,25,189,124,16,28,3,22,22,32,148,118
34,Armour Square,231,162,125,102,0,27,46,51,79,90,0,27,106,81,20,40,37,60,4,26,45,51
35,Douglas,138,75,72,56,0,35,0,35,42,49,30,40,66,49,0,35,20,39,10,34,36,47
36,Oakland,3,16,3,16,0,19,3,16,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,221,98,91,61,0,43,37,54,38,52,16,41,130,82,0,43,18,50,58,56,54,53
39,Kenwood,189,100,88,66,6,31,0,31,0,31,82,64,101,80,4,30,37,65,23,37,37,39
40,Washington Park,60,52,11,31,0,27,11,31,0,27,0,27,49,50,9,28,0,27,20,35,20,32
41,Hyde Park,404,143,212,121,60,83,6,38,9,37,137,75,192,81,0,38,34,55,34,46,124,65
42,Woodlawn,219,92,138,80,1,35,14,36,41,57,82,64,81,55,0,36,0,36,13,38,68,52
43,South Shore,531,192,210,109,16,44,57,72,107,83,30,57,321,138,41,57,93,84,115,96,72,62
44,Chatham,266,140,34,44,0,37,0,37,34,44,0,37,232,129,0,37,9,38,153,103,70,66
45,Avalon Park,52,46,0,19,0,19,0,19,0,19,0,19,52,46,9,23,12,26,13,22,18,31
46,South Chicago,156,111,24,44,0,37,17,44,0,37,7,37,132,108,6,36,32,48,77,101,17,43
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,55,52,29,37,0,27,0,27,17,34,12,31,26,34,0,27,0,27,0,27,26,34
49,Roseland,244,131,72,55,6,41,29,48,16,45,21,47,172,126,0,41,0,41,115,91,57,63
50,Pullman,14,29,8,20,8,20,0,19,0,19,0,19,6,19,6,19,0,19,0,19,0,19
51,South Deering,131,88,31,35,21,30,0,25,10,28,0,25,100,70,17,31,0,25,83,68,0,25
52,East Side,248,115,111,72,28,34,57,60,7,27,19,32,137,68,53,41,40,36,35,45,9,32
53,West Pullman,122,110,86,105,0,39,0,39,86,105,0,39,36,41,8,38,0,39,0,39,28,38
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,69,52,44,44,0,19,0,19,25,31,19,34,25,27,0,19,0,19,13,22,12,24
56,Garfield Ridge,445,161,200,113,5,42,103,68,78,68,14,45,245,116,46,58,77,75,68,77,54,51
57,Archer Heights,37,33,16,31,5,24,0,27,11,32,0,27,21,28,7,24,10,27,4,26,0,27
58,Brighton Park,171,121,127,98,40,51,62,78,25,50,0,43,44,52,26,49,18,46,0,43,0,43
59,McKinley Park,128,129,72,72,36,40,26,45,10,27,0,25,56,63,10,26,10,27,9,27,27,47
60,Bridgeport,182,85,77,57,10,38,9,36,55,50,3,35,105,55,20,38,56,42,5,36,24,38
61,New City,236,124,87,70,0,47,0,47,45,54,42,64,149,99,46,60,54,58,43,64,6,46
62,West Elsdon,68,59,22,42,0,27,0,27,22,42,0,27,46,50,9,26,26,38,11,30,0,27
63,Gage Park,117,98,56,55,19,42,0,41,25,53,12,42,61,65,15,42,6,39,37,56,3,40
64,Clearing,209,129,127,74,56,64,12,34,52,48,7,32,82,65,42,60,18,32,15,37,7,32
65,West Lawn,434,186,231,157,104,122,17,44,101,93,9,33,203,84,39,44,84,56,25,34,55,57
66,Chicago Lawn,196,112,110,85,50,58,22,45,38,78,0,49,86,59,20,50,3,47,46,57,17,49
67,West Englewood,188,100,157,91,62,62,11,50,84,75,0,48,31,52,0,48,4,47,27,53,0,48
68,Englewood,79,55,44,50,17,37,0,36,27,48,0,36,35,40,8,37,0,36,27,40,0,36
69,Greater Grand Crossing,114,89,51,55,0,38,0,38,49,54,2,40,63,69,4,38,24,45,29,50,6,56
70,Ashburn,175,110,81,65,27,45,10,43,44,51,0,41,94,73,29,46,9,41,56,48,0,41
71,Auburn Gresham,191,115,96,84,75,79,0,46,21,53,0,46,95,72,0,46,15,50,61,63,19,52
72,Beverly,146,73,45,40,6,29,9,31,1,27,29,38,101,59,0,29,15,32,0,29,86,57
73,Washington Heights,85,70,11,33,0,33,0,33,8,34,3,32,74,66,5,32,3,32,5,33,61,62
74,Mount Greenwood,58,43,12,29,0,25,11,29,1,23,0,25,46,38,0,25,22,33,11,28,13,28
75,Morgan Park,151,72,41,49,0,31,20,44,12,35,9,33,110,54,0,31,9,33,66,45,35,36
76,O'Hare,255,163,151,129,0,38,28,60,48,82,75,94,104,103,16,43,11,40,17,46,60,94
77,Edgewater,1165,346,572,240,52,61,33,63,130,114,357,207,593,242,87,89,52,65,149,114,305,154
