area_id,area_name,b10051d001,b10051d001_moe,b10051d002,b10051d002_moe,b10051d003,b10051d003_moe,b10051d004,b10051d004_moe,b10051d005,b10051d005_moe,b10051d006,b10051d006_moe,b10051d007,b10051d007_moe
1,Rogers Park,29,57,19,56,0,48,19,56,10,49,10,49,0,48
2,West Ridge,956,342,104,94,79,86,25,64,852,330,227,177,625,285
3,Uptown,71,88,27,63,0,48,27,63,44,78,7,50,37,76
4,Lincoln Square,29,55,0,40,0,40,0,40,29,55,0,40,29,55
5,North Center,28,53,0,43,0,43,0,43,28,53,0,43,28,53
6,Lake View,30,80,0,66,0,66,0,66,30,80,0,66,30,80
7,Lincoln Park,0,51,0,51,0,51,0,51,0,51,0,51,0,51
8,Near North Side,21,56,9,55,0,54,9,55,12,54,8,55,4,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,16,44,16,44,16,44,0,39,0,39,0,39,0,39
11,Jefferson Park,94,77,28,51,0,29,28,51,66,64,0,29,66,64
12,Forest Glen,144,100,22,46,22,46,0,29,122,95,0,29,122,95
13,North Park,284,138,46,51,27,48,19,33,238,131,18,35,220,129
14,Albany Park,414,238,33,68,33,68,0,45,381,219,94,112,287,194
15,Portage Park,260,138,33,58,0,47,33,58,227,133,22,59,205,128
16,Irving Park,213,166,9,46,9,46,0,47,204,164,53,73,151,155
17,Dunning,135,99,22,49,0,40,22,49,113,83,30,57,83,72
18,Montclare,23,38,23,38,0,23,23,38,0,23,0,23,0,23
19,Belmont Cragin,20,60,0,52,0,52,0,52,20,60,0,52,20,60
20,Hermosa,0,29,0,29,0,29,0,29,0,29,0,29,0,29
21,Avondale,67,72,41,67,41,67,0,38,26,46,0,38,26,46
22,Logan Square,0,57,0,57,0,57,0,57,0,57,0,57,0,57
23,Humboldt Park,0,51,0,51,0,51,0,51,0,51,0,51,0,51
24,West Town,14,66,0,62,0,62,0,62,14,66,0,62,14,66
25,Austin,12,69,0,61,0,61,0,61,12,69,0,61,12,69
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,128,119,9,53,9,53,0,52,119,118,0,52,119,118
29,North Lawndale,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,0,48,0,48,0,48,0,48,0,48,0,48,0,48
31,Lower West Side,0,42,0,42,0,42,0,42,0,42,0,42,0,42
32,Loop,0,30,0,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,0,24,0,24,0,24,0,24,0,24,0,24,0,24
34,Armour Square,342,186,36,39,13,32,23,34,306,187,87,81,219,148
35,Douglas,0,35,0,35,0,35,0,35,0,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,10,44,0,43,0,43,0,43,10,44,0,43,10,44
39,Kenwood,0,31,0,31,0,31,0,31,0,31,0,31,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,18,41,9,39,0,38,9,39,9,38,0,38,9,38
42,Woodlawn,9,38,0,36,0,36,0,36,9,38,0,36,9,38
43,South Shore,0,44,0,44,0,44,0,44,0,44,0,44,0,44
44,Chatham,0,37,0,37,0,37,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,0,41,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,0,25,0,25,0,25,0,25,0,25,0,25,0,25
52,East Side,0,29,0,29,0,29,0,29,0,29,0,29,0,29
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,0,19,0,19,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,37,70,37,70,0,42,37,70,0,42,0,42,0,42
57,Archer Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27
58,Brighton Park,125,87,26,55,0,43,26,55,99,80,25,58,74,70
59,McKinley Park,239,126,0,25,0,25,0,25,239,126,115,78,124,81
60,Bridgeport,312,139,17,49,7,49,10,37,295,135,35,56,260,127
61,New City,0,47,0,47,0,47,0,47,0,47,0,47,0,47
62,West Elsdon,0,27,0,27,0,27,0,27,0,27,0,27,0,27
63,Gage Park,0,41,0,41,0,41,0,41,0,41,0,41,0,41
64,Clearing,0,31,0,31,0,31,0,31,0,31,0,31,0,31
65,West Lawn,0,34,0,34,0,34,0,34,0,34,0,34,0,34
66,Chicago Lawn,0,49,0,49,0,49,0,49,0,49,0,49,0,49
67,West Englewood,0,48,0,48,0,48,0,48,0,48,0,48,0,48
68,Englewood,0,36,0,36,0,36,0,36,0,36,0,36,0,36
69,Greater Grand Crossing,0,38,0,38,0,38,0,38,0,38,0,38,0,38
70,Ashburn,13,43,0,41,0,41,0,41,13,43,0,41,13,43
71,Auburn Gresham,27,64,0,46,0,46,0,46,27,64,14,50,13,50
72,Beverly,0,29,0,29,0,29,0,29,0,29,0,29,0,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,0,25,0,25,0,25,0,25,0,25,0,25,0,25
75,Morgan Park,0,31,0,31,0,31,0,31,0,31,0,31,0,31
76,O'Hare,14,42,0,38,0,38,0,38,14,42,14,42,0,38
77,Edgewater,91,95,24,56,12,53,12,52,67,91,0,48,67,91
