area_id,area_name,b01001c001,b01001c001_moe,b01001c002,b01001c002_moe,b01001c003,b01001c003_moe,b01001c004,b01001c004_moe,b01001c005,b01001c005_moe,b01001c006,b01001c006_moe,b01001c007,b01001c007_moe,b01001c008,b01001c008_moe,b01001c009,b01001c009_moe,b01001c010,b01001c010_moe,b01001c011,b01001c011_moe,b01001c012,b01001c012_moe,b01001c013,b01001c013_moe,b01001c014,b01001c014_moe,b01001c015,b01001c015_moe,b01001c016,b01001c016_moe,b01001c017,b01001c017_moe,b01001c018,b01001c018_moe,b01001c019,b01001c019_moe,b01001c020,b01001c020_moe,b01001c021,b01001c021_moe,b01001c022,b01001c022_moe,b01001c023,b01001c023_moe,b01001c024,b01001c024_moe,b01001c025,b01001c025_moe,b01001c026,b01001c026_moe,b01001c027,b01001c027_moe,b01001c028,b01001c028_moe,b01001c029,b01001c029_moe,b01001c030,b01001c030_moe,b01001c031,b01001c031_moe
1,Rogers Park,118,130,28,65,0,48,0,48,0,48,0,48,0,48,0,48,16,52,0,48,0,48,12,49,0,48,0,48,0,48,0,48,90,94,18,55,0,48,12,49,0,48,0,48,13,51,0,48,16,53,9,48,11,49,3,47,0,48,8,48,0,48
2,West Ridge,264,215,136,121,0,51,7,51,26,66,0,51,0,51,39,77,0,51,0,51,9,53,26,66,14,56,15,57,0,51,0,51,128,124,0,51,0,51,0,51,0,51,0,51,31,72,0,51,17,58,0,51,25,65,26,58,29,63,0,51,0,51
3,Uptown,249,146,182,122,0,48,19,54,0,48,0,48,0,48,0,48,46,72,0,48,83,79,15,48,0,48,19,53,0,48,0,48,67,66,0,48,19,54,0,48,0,48,0,48,0,48,0,48,0,48,25,57,23,50,0,48,0,48,0,48,0,48
4,Lincoln Square,242,175,40,53,0,40,0,40,0,40,0,40,4,39,0,40,0,40,0,40,3,41,20,40,0,40,13,43,0,40,0,40,202,158,26,58,0,40,0,40,0,40,0,40,0,40,13,43,0,40,34,65,29,53,100,95,0,40,0,40,0,40
5,North Center,81,70,68,68,0,43,0,43,0,43,0,43,0,43,0,43,0,43,14,43,0,43,8,43,46,66,0,43,0,43,0,43,13,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,13,46,0,43,0,43,0,43,0,43,0,43
6,Lake View,221,167,185,163,0,66,0,66,0,66,11,67,12,67,7,66,0,66,26,70,38,78,0,66,91,151,0,66,0,66,0,66,36,68,0,66,0,66,0,66,0,66,5,66,0,66,7,66,9,66,0,66,0,66,0,66,0,66,15,69,0,66
7,Lincoln Park,154,112,67,71,0,51,8,51,0,51,0,51,9,50,0,51,0,51,14,54,0,51,30,67,0,51,0,51,6,51,0,51,87,85,13,54,11,53,0,51,0,51,5,50,0,51,0,51,0,51,27,57,0,51,26,59,5,50,0,51,0,51
8,Near North Side,225,164,22,60,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,22,60,0,54,0,54,0,54,0,54,0,54,203,162,0,54,0,54,12,57,10,55,0,54,0,54,0,54,0,54,97,134,41,81,43,71,0,54,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,71,133,49,103,34,76,0,39,0,39,0,39,0,39,0,39,15,47,0,39,0,39,0,39,0,39,0,39,0,39,0,39,22,47,0,39,0,39,0,39,0,39,0,39,0,39,7,39,0,39,15,46,0,39,0,39,0,39,0,39,0,39
11,Jefferson Park,74,82,27,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,27,45,0,29,0,29,0,29,0,29,47,52,0,29,27,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,20,39,0,29,0,29,0,29,0,29
12,Forest Glen,21,40,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
